Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
7316000,AMZN,713.22998,719.00,701.650024,2016-05-11,713.22998,705.789978
6087000,AMZN,703.070007,704.549988,693.50,2016-05-10,703.070007,694.00
3972300,AMZN,679.75,686.97998,671.409973,2016-05-09,679.75,673.950012
4347200,AMZN,673.950012,676.950012,656.01001,2016-05-06,673.950012,656.049988
4875500,AMZN,659.090027,676.48999,656.00,2016-05-05,659.090027,673.309998
4574500,AMZN,670.900024,674.00,662.140015,2016-05-04,670.900024,662.590027
4902100,AMZN,671.320007,680.299988,670.429993,2016-05-03,671.320007,677.359985
6560900,AMZN,683.849976,685.50,662.030029,2016-05-02,683.849976,663.919983
10291800,AMZN,659.590027,669.97998,654.00,2016-04-29,659.590027,666.00
7142100,AMZN,602.00,626.799988,599.200012,2016-04-28,602.00,615.539978
4020800,AMZN,606.570007,615.950012,601.280029,2016-04-27,606.570007,611.799988
2492000,AMZN,616.880005,626.75,614.880005,2016-04-26,616.880005,626.169983
2666700,AMZN,626.200012,626.97998,616.25,2016-04-25,626.200012,616.609985
5069900,AMZN,620.50,628.25,611.559998,2016-04-22,620.50,624.469971
2550900,AMZN,631.00,637.820007,628.50,2016-04-21,631.00,631.00
2601500,AMZN,632.98999,636.549988,623.00,2016-04-20,632.98999,630.00
4048800,AMZN,627.900024,638.01001,620.799988,2016-04-19,627.900024,637.140015
4336400,AMZN,635.349976,637.640015,624.960022,2016-04-18,635.349976,625.349976
2880900,AMZN,625.890015,626.77002,618.109985,2016-04-15,625.890015,621.919983
3474300,AMZN,620.75,624.380005,615.070007,2016-04-14,620.75,615.070007
4209800,AMZN,614.820007,616.809998,605.289978,2016-04-13,614.820007,607.679993
2636300,AMZN,603.169983,604.059998,592.309998,2016-04-12,603.169983,598.400024
2696500,AMZN,595.929993,604.00,594.909973,2016-04-11,595.929993,596.140015
2589200,AMZN,594.599976,597.859985,589.00,2016-04-08,594.599976,594.320007
3153700,AMZN,591.429993,599.599976,589.080017,2016-04-07,591.429993,598.76001
2833500,AMZN,602.080017,602.390015,587.50,2016-04-06,602.080017,587.52002
2277200,AMZN,586.140015,593.469971,585.25,2016-04-05,586.140015,590.77002
2469600,AMZN,593.190002,599.50,590.549988,2016-04-04,593.190002,599.00
2912400,AMZN,598.50,599.030029,588.299988,2016-04-01,598.50,590.48999
2673600,AMZN,593.640015,600.75,592.210022,2016-03-31,593.640015,599.280029
3888000,AMZN,598.690002,603.23999,595.00,2016-03-30,598.690002,596.710022
4167100,AMZN,593.859985,595.849976,576.50,2016-03-29,593.859985,580.150024
3118000,AMZN,579.869995,584.75,575.559998,2016-03-28,579.869995,584.400024
5141600,AMZN,582.950012,583.549988,567.080017,2016-03-24,582.950012,567.109985
3966100,AMZN,569.630005,572.47998,558.099976,2016-03-23,569.630005,561.00
3990900,AMZN,560.47998,562.76001,545.049988,2016-03-22,560.47998,545.109985
5146100,AMZN,553.97998,555.23999,538.580017,2016-03-21,553.97998,548.909973
7263300,AMZN,552.080017,562.330017,546.090027,2016-03-18,552.080017,560.940002
5918200,AMZN,559.440002,571.400024,555.01001,2016-03-17,559.440002,569.51001
3474600,AMZN,574.27002,581.320007,571.140015,2016-03-16,574.27002,576.640015
3866900,AMZN,577.02002,581.52002,567.00,2016-03-15,577.02002,571.00
3451900,AMZN,573.369995,576.890015,563.049988,2016-03-14,573.369995,567.00
3755400,AMZN,569.609985,570.059998,562.72998,2016-03-11,569.609985,566.950012
3914300,AMZN,558.929993,567.00,547.900024,2016-03-10,558.929993,566.73999
4373300,AMZN,559.469971,560.349976,550.130005,2016-03-09,559.469971,559.559998
4709400,AMZN,560.26001,571.349976,554.73999,2016-03-08,560.26001,557.869995
4926900,AMZN,562.799988,573.630005,555.549988,2016-03-07,562.799988,573.539978
3405100,AMZN,575.140015,581.400024,571.070007,2016-03-04,575.140015,581.070007
2736700,AMZN,577.48999,579.869995,573.109985,2016-03-03,577.48999,577.960022
4576900,AMZN,580.210022,585.00,573.700012,2016-03-02,580.210022,581.75
5014400,AMZN,579.039978,579.25,556.00,2016-03-01,579.039978,556.289978
4013400,AMZN,552.52002,564.809998,552.51001,2016-02-29,552.52002,554.00
4877000,AMZN,555.22998,562.50,553.169983,2016-02-26,555.22998,560.119995
4525500,AMZN,555.150024,559.390015,545.289978,2016-02-25,555.150024,555.52002
6231700,AMZN,554.039978,554.27002,533.150024,2016-02-24,554.039978,545.75
4050800,AMZN,552.940002,556.909973,545.330017,2016-02-23,552.940002,555.549988
