Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
256100,EGHT,11.52,11.62,11.47,2016-05-13,11.52,11.55
251600,EGHT,11.58,11.73,11.55,2016-05-12,11.58,11.68
179800,EGHT,11.63,11.72,11.49,2016-05-11,11.63,11.57
253400,EGHT,11.66,11.74,11.41,2016-05-10,11.66,11.69
374100,EGHT,11.63,11.71,11.32,2016-05-09,11.63,11.61
413900,EGHT,11.63,11.65,11.22,2016-05-06,11.63,11.25
444800,EGHT,11.25,11.75,11.24,2016-05-05,11.25,11.69
611500,EGHT,11.67,11.95,11.67,2016-05-04,11.67,11.79
491700,EGHT,11.88,11.93,11.65,2016-05-03,11.88,11.70
683300,EGHT,11.80,11.87,11.20,2016-05-02,11.80,11.34
511200,EGHT,11.34,11.37,11.16,2016-04-29,11.34,11.31
337500,EGHT,11.37,11.62,11.36,2016-04-28,11.37,11.51
412000,EGHT,11.56,11.58,11.12,2016-04-27,11.56,11.38
369500,EGHT,11.36,11.36,11.05,2016-04-26,11.36,11.23
329100,EGHT,11.25,11.48,11.17,2016-04-25,11.25,11.48
583500,EGHT,11.46,11.50,11.15,2016-04-22,11.46,11.15
448700,EGHT,11.24,11.31,11.12,2016-04-21,11.24,11.16
327600,EGHT,11.16,11.22,10.97,2016-04-20,11.16,11.10
401800,EGHT,11.06,11.20,10.96,2016-04-19,11.06,11.08
407400,EGHT,11.01,11.09,10.77,2016-04-18,11.01,10.84
304100,EGHT,10.88,10.94,10.75,2016-04-15,10.88,10.86
423700,EGHT,10.91,10.99,10.46,2016-04-14,10.91,10.53
817300,EGHT,10.55,10.69,10.43,2016-04-13,10.55,10.50
632700,EGHT,10.41,10.56,10.05,2016-04-12,10.41,10.53
596500,EGHT,10.54,10.70,10.35,2016-04-11,10.54,10.49
341700,EGHT,10.42,10.56,10.31,2016-04-08,10.42,10.40
622400,EGHT,10.34,10.63,10.29,2016-04-07,10.34,10.52
320000,EGHT,10.61,10.65,10.40,2016-04-06,10.61,10.53
631000,EGHT,10.53,10.81,10.45,2016-04-05,10.53,10.52
1012200,EGHT,10.57,10.91,10.09,2016-04-04,10.57,10.22
797800,EGHT,10.19,10.37,9.84,2016-04-01,10.19,9.95
990400,EGHT,10.06,10.16,9.90,2016-03-31,10.06,10.11
930400,EGHT,10.10,10.20,9.78,2016-03-30,10.10,9.84
505400,EGHT,9.74,9.84,9.30,2016-03-29,9.74,9.30
417400,EGHT,9.35,9.57,9.18,2016-03-28,9.35,9.45
704200,EGHT,9.47,9.71,9.22,2016-03-24,9.47,9.38
1152100,EGHT,9.37,9.44,9.03,2016-03-23,9.37,9.24
429700,EGHT,9.29,9.53,9.27,2016-03-22,9.29,9.44
645500,EGHT,9.52,9.69,9.41,2016-03-21,9.52,9.53
1746400,EGHT,9.58,9.61,9.01,2016-03-18,9.58,9.33
1167300,EGHT,9.30,9.93,9.29,2016-03-17,9.30,9.91
711200,EGHT,9.90,10.09,9.87,2016-03-16,9.90,10.00
499500,EGHT,10.05,10.45,10.00,2016-03-15,10.05,10.43
