Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
2133600,LNKD,126.900002,130.740005,125.559998,2016-05-12,126.900002,129.089996
2698700,LNKD,128.770004,131.149994,128.25,2016-05-11,128.770004,128.839996
3096300,LNKD,128.929993,128.949997,122.18,2016-05-10,128.929993,122.239998
1747300,LNKD,121.599998,122.269997,119.800003,2016-05-09,121.599998,121.040001
2065900,LNKD,121.82,122.970001,119.459999,2016-05-06,121.82,122.970001
1810900,LNKD,123.110001,126.00,122.669998,2016-05-05,123.110001,125.480003
1571000,LNKD,124.540001,126.730003,123.699997,2016-05-04,124.540001,124.190002
2040600,LNKD,124.910004,128.00,124.57,2016-05-03,124.910004,127.07
3116200,LNKD,128.850006,129.419998,125.019997,2016-05-02,128.850006,125.970001
9104500,LNKD,125.309998,130.990005,123.860001,2016-04-29,125.309998,129.009995
4866400,LNKD,123.010002,124.440002,119.339996,2016-04-28,123.010002,119.720001
2834300,LNKD,118.849998,121.639999,118.099998,2016-04-27,118.849998,120.889999
1901400,LNKD,122.529999,123.919998,120.419998,2016-04-26,122.529999,121.169998
2147000,LNKD,120.480003,121.900002,118.809998,2016-04-25,120.480003,119.230003
1934100,LNKD,119.449997,121.900002,117.900002,2016-04-22,119.449997,119.339996
2938700,LNKD,120.459999,121.959999,116.779999,2016-04-21,120.459999,117.300003
1153300,LNKD,117.32,118.199997,115.099998,2016-04-20,117.32,115.75
1740500,LNKD,115.419998,118.339996,114.360001,2016-04-19,115.419998,118.220001
1239500,LNKD,118.00,118.489998,115.599998,2016-04-18,118.00,115.760002
1539900,LNKD,116.610001,117.699997,115.489998,2016-04-15,116.610001,117.550003
3874700,LNKD,117.699997,118.230003,113.059998,2016-04-14,117.699997,113.43
2671600,LNKD,113.230003,113.879997,110.610001,2016-04-13,113.230003,110.699997
1521700,LNKD,109.690002,110.43,108.610001,2016-04-12,109.690002,109.580002
1667400,LNKD,109.300003,110.199997,107.25,2016-04-11,109.300003,108.93
4220300,LNKD,108.440002,112.669998,107.00,2016-04-08,108.440002,112.669998
1876600,LNKD,112.43,114.860001,112.129997,2016-04-07,112.43,114.25
1734200,LNKD,114.75,115.150002,112.459999,2016-04-06,114.75,114.309998
1623800,LNKD,113.68,115.629997,113.68,2016-04-05,113.68,114.629997
2802100,LNKD,115.309998,116.730003,115.010002,2016-04-04,115.309998,115.339996
1541600,LNKD,115.629997,115.669998,113.370003,2016-04-01,115.629997,113.940002
2546500,LNKD,114.349998,116.57,113.00,2016-03-31,114.349998,113.529999
3214800,LNKD,113.830002,114.970001,110.980003,2016-03-30,113.830002,111.50
3554900,LNKD,110.029999,110.370003,106.00,2016-03-29,110.029999,107.00
2243500,LNKD,109.120003,111.870003,108.300003,2016-03-28,109.120003,111.75
2716700,LNKD,111.029999,112.32,110.099998,2016-03-24,111.029999,111.860001
2412000,LNKD,112.449997,114.32,112.169998,2016-03-23,112.449997,113.839996
1751800,LNKD,113.410004,115.620003,113.019997,2016-03-22,113.410004,113.559998
2046000,LNKD,114.540001,115.480003,112.400002,2016-03-21,114.540001,113.199997
3953900,LNKD,113.099998,113.540001,109.510002,2016-03-18,113.099998,110.00
2633400,LNKD,109.699997,111.220001,109.349998,2016-03-17,109.699997,109.50
5978400,LNKD,109.809998,112.00,107.989998,2016-03-16,109.809998,111.449997
1936000,LNKD,115.580002,117.620003,114.050003,2016-03-15,115.580002,117.43
2440000,LNKD,117.279999,118.879997,115.370003,2016-03-14,117.279999,115.510002
2676400,LNKD,115.510002,116.550003,114.230003,2016-03-11,115.510002,116.150002
3498600,LNKD,114.980003,118.50,114.290001,2016-03-10,114.980003,118.410004
2919600,LNKD,117.940002,119.269997,114.019997,2016-03-09,117.940002,115.059998
3109700,LNKD,114.089996,117.639999,113.220001,2016-03-08,114.089996,114.410004
3076300,LNKD,114.879997,120.699997,113.300003,2016-03-07,114.879997,119.279999
3545800,LNKD,119.349998,121.410004,116.779999,2016-03-04,119.349998,118.019997
2858100,LNKD,117.029999,118.870003,116.790001,2016-03-03,117.029999,118.730003
2353300,LNKD,119.599998,119.730003,115.75,2016-03-02,119.599998,116.330002
5115200,LNKD,116.339996,118.800003,114.220001,2016-03-01,116.339996,118.209999
3359500,LNKD,117.190002,122.370003,117.169998,2016-02-29,117.190002,120.830002
2371300,LNKD,120.910004,122.269997,119.00,2016-02-26,120.910004,119.620003
3060300,LNKD,119.00,119.089996,115.769997,2016-02-25,119.00,117.730003
2692000,LNKD,117.699997,118.50,114.050003,2016-02-24,117.699997,114.669998
3067600,LNKD,116.010002,117.970001,114.860001,2016-02-23,116.010002,115.889999
3138100,LNKD,116.449997,117.269997,113.150002,2016-02-22,116.449997,114.190002
3122900,LNKD,114.120003,114.800003,112.190002,2016-02-19,114.120003,112.580002
5343300,LNKD,113.459999,115.550003,108.809998,2016-02-18,113.459999,111.580002
5059500,LNKD,111.010002,111.260002,105.029999,2016-02-17,111.010002,105.769997
4203000,LNKD,106.00,106.080002,99.660004,2016-02-16,106.00,102.230003
4470400,LNKD,101.110001,105.00,99.849998,2016-02-12,101.110001,104.260002
4639000,LNKD,103.470001,103.699997,99.309998,2016-02-11,103.470001,100.720001
9103600,LNKD,101.760002,105.300003,98.25,2016-02-10,101.760002,101.800003
8961200,LNKD,100.980003,112.260002,100.120003,2016-02-09,100.980003,108.699997
13419600,LNKD,109.970001,115.349998,106.720001,2016-02-08,109.970001,107.199997
44081400,LNKD,108.379997,128.990005,102.809998,2016-02-05,108.379997,125.339996
8576900,LNKD,192.279999,196.820007,186.179993,2016-02-04,192.279999,191.580002
3385100,LNKD,191.25,204.880005,185.050003,2016-02-03,191.25,204.259995
2562400,LNKD,203.429993,208.889999,199.529999,2016-02-02,203.429993,207.610001
2471700,LNKD,205.759995,206.259995,197.490005,2016-02-01,205.759995,197.820007
1946000,LNKD,197.910004,198.059998,190.179993,2016-01-29,197.910004,193.759995
1535200,LNKD,191.139999,196.809998,189.00,2016-01-28,191.139999,195.100006
1417400,LNKD,188.029999,195.779999,186.800003,2016-01-27,188.029999,194.279999
991900,LNKD,196.139999,196.660004,190.199997,2016-01-26,196.139999,193.779999
