Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
9502700,QCOM,51.509998,52.529999,51.360001,2016-05-12,51.509998,52.330002
8296200,QCOM,52.150002,52.529999,51.689999,2016-05-11,52.150002,51.830002
8186000,QCOM,52.150002,52.23,50.970001,2016-05-10,52.150002,51.259998
7162800,QCOM,51.200001,51.599998,50.790001,2016-05-09,51.200001,51.00
9397100,QCOM,50.919998,51.119999,50.380001,2016-05-06,50.919998,50.650002
10139900,QCOM,51.130001,51.27,50.43,2016-05-05,51.130001,50.740002
10364000,QCOM,50.490002,50.880001,50.150002,2016-05-04,50.490002,50.189999
7763200,QCOM,50.73,50.919998,50.189999,2016-05-03,50.73,50.669998
7115000,QCOM,51.110001,51.169998,50.130001,2016-05-02,51.110001,50.689999
11365400,QCOM,50.52,52.00,50.110001,2016-04-29,50.52,51.830002
7711000,QCOM,52.130001,53.279999,52.040001,2016-04-28,52.130001,52.48
8225400,QCOM,52.900002,53.130001,52.009998,2016-04-27,52.900002,52.029999
7497900,QCOM,52.91,52.959999,52.450001,2016-04-26,52.91,52.540001
6922300,QCOM,52.43,52.720001,52.029999,2016-04-25,52.43,52.599998
13908600,QCOM,52.639999,53.09,51.68,2016-04-22,52.639999,51.709999
16510700,QCOM,51.669998,51.799999,50.740002,2016-04-21,51.669998,51.299999
10397600,QCOM,52.09,52.540001,51.810001,2016-04-20,52.09,51.93
8692000,QCOM,51.830002,51.93,51.299999,2016-04-19,51.830002,51.73
7666800,QCOM,51.549999,51.73,50.939999,2016-04-18,51.549999,51.09
10121600,QCOM,51.060001,51.990002,51.029999,2016-04-15,51.060001,51.93
7915000,QCOM,51.82,51.889999,51.240002,2016-04-14,51.82,51.849998
13802200,QCOM,51.919998,52.439999,51.150002,2016-04-13,51.919998,51.299999
6076700,QCOM,50.82,51.099998,50.200001,2016-04-12,50.82,51.049999
8625300,QCOM,51.00,51.580002,50.860001,2016-04-11,51.00,50.860001
5557300,QCOM,50.560001,51.150002,50.25,2016-04-08,50.560001,50.369999
7296200,QCOM,50.029999,50.450001,49.77,2016-04-07,50.029999,50.400002
7432200,QCOM,50.619999,50.73,49.73,2016-04-06,50.619999,50.139999
6429900,QCOM,50.07,50.529999,50.00,2016-04-05,50.07,50.439999
6289600,QCOM,50.650002,51.110001,50.509998,2016-04-04,50.650002,50.810001
9373800,QCOM,50.880001,51.110001,50.009998,2016-04-01,50.880001,51.080002
6672300,QCOM,51.139999,51.43,50.830002,2016-03-31,51.139999,50.869999
6675400,QCOM,50.990002,51.650002,50.73,2016-03-30,50.990002,51.169998
9564000,QCOM,50.689999,50.939999,49.669998,2016-03-29,50.689999,50.00
9033300,QCOM,50.189999,50.610001,49.950001,2016-03-28,50.189999,50.43
7508400,QCOM,50.860001,50.900002,50.130001,2016-03-24,50.860001,50.630001
8615300,QCOM,50.990002,52.16,50.810001,2016-03-23,50.990002,52.119999
6606100,QCOM,52.02,52.32,51.790001,2016-03-22,52.02,51.84
11481500,QCOM,52.209999,52.349998,51.509998,2016-03-21,52.209999,51.599998
27569500,QCOM,51.59,51.869999,51.23,2016-03-18,51.59,51.689999
10183300,QCOM,51.380001,51.689999,51.119999,2016-03-17,51.380001,51.150002
20519600,QCOM,51.299999,51.630001,50.91,2016-03-16,51.299999,51.630001
12532400,QCOM,51.630001,51.830002,50.98,2016-03-15,51.630001,51.75
7407200,QCOM,52.09,52.41,51.740002,2016-03-14,52.09,52.240002
11400600,QCOM,52.220001,52.639999,51.889999,2016-03-11,52.220001,52.59
9519100,QCOM,52.02,52.369999,51.169998,2016-03-10,52.02,51.91
13689100,QCOM,51.950001,52.52,51.740002,2016-03-09,51.950001,52.41
11593200,QCOM,52.459999,53.209999,51.98,2016-03-08,52.459999,52.889999
10171500,QCOM,53.299999,53.52,52.360001,2016-03-07,53.299999,52.439999
12730200,QCOM,52.66,52.900002,51.900002,2016-03-04,52.66,52.330002
12365200,QCOM,52.380001,52.810001,51.860001,2016-03-03,52.380001,52.450001
15664800,QCOM,52.849998,52.98,52.240002,2016-03-02,52.849998,52.389999
11977400,QCOM,52.110001,52.110001,51.060001,2016-03-01,52.110001,51.080002
12127300,QCOM,50.790001,51.529999,50.709999,2016-02-29,50.790001,51.169998
9528400,QCOM,51.139998,52.00,51.220001,2016-02-26,51.619999,52.00
8352400,QCOM,51.159812,51.790001,50.900002,2016-02-25,51.639999,51.50
10966600,QCOM,51.040929,51.66,49.73,2016-02-24,51.52,50.00
9358700,QCOM,49.951156,51.00,50.110001,2016-02-23,50.419998,51.00
16793600,QCOM,50.803159,51.290001,50.07,2016-02-22,51.279999,50.080002
16196800,QCOM,48.960454,50.040001,48.759998,2016-02-19,49.419998,49.040001
13173100,QCOM,48.62362,49.310001,48.02,2016-02-18,49.080002,48.41
14868200,QCOM,47.959848,48.529999,47.009998,2016-02-17,48.41,47.049999
13832500,QCOM,46.295469,46.830002,45.400002,2016-02-16,46.73,45.599998
11696500,QCOM,44.145649,44.759998,43.080002,2016-02-12,44.560001,43.349998
12537700,QCOM,42.600154,43.290001,42.240002,2016-02-11,43.00,42.509998
10044600,QCOM,42.560525,44.52,42.900002,2016-02-10,42.959999,44.00
10339800,QCOM,43.204482,44.060001,43.169998,2016-02-09,43.610001,43.650002
12799000,QCOM,43.481878,44.16,42.830002,2016-02-08,43.889999,43.509998
10709800,QCOM,43.61067,45.599998,43.77,2016-02-05,44.02,45.450001
10798900,QCOM,45.235419,45.759998,44.380001,2016-02-04,45.66,44.619999
16733600,QCOM,44.314067,45.00,43.310001,2016-02-03,44.73,43.599998
21079700,QCOM,42.748761,45.400002,42.880001,2016-02-02,43.150002,45.18
13120400,QCOM,45.681236,46.41,44.389999,2016-02-01,46.110001,44.709999
24039200,QCOM,44.918395,45.349998,43.669998,2016-01-29,45.34,44.049999
27935200,QCOM,43.184668,45.82,43.470001,2016-01-28,43.59,45.799999
12305000,QCOM,47.08803,48.580002,47.16,2016-01-27,47.529999,48.00
9273400,QCOM,48.068826,48.849998,47.52,2016-01-26,48.52,47.599998
9365800,QCOM,47.137568,48.389999,47.52,2016-01-25,47.580002,47.970001
12154900,QCOM,47.623009,48.279999,47.439999,2016-01-22,48.07,47.810001
12913700,QCOM,46.612493,47.439999,45.709999,2016-01-21,47.049999,46.360001
14761500,QCOM,45.502909,46.18,44.389999,2016-01-20,45.93,45.50
12680000,QCOM,45.661421,46.580002,45.470001,2016-01-19,46.09,46.50
17273300,QCOM,45.393931,46.509998,45.130001,2016-01-15,45.82,46.040001
21649400,QCOM,47.286171,48.009998,45.84,2016-01-14,47.73,46.209999
17285100,QCOM,45.671326,47.970001,46.07,2016-01-13,46.099998,47.220001
9290700,QCOM,46.087423,46.68,45.619999,2016-01-12,46.52,46.450001
13624900,QCOM,45.641607,46.529999,45.330002,2016-01-11,46.07,46.360001
15285500,QCOM,45.453375,46.849998,45.84,2016-01-08,45.880001,46.810001
20495600,QCOM,45.710955,48.00,45.98,2016-01-07,46.139999,47.779999
15783500,QCOM,48.187709,48.66,47.759998,2016-01-06,48.639999,48.360001
13482300,QCOM,48.683059,50.599998,49.07,2016-01-05,49.139999,50.459999
12571300,QCOM,49.653946,50.18,48.91,2016-01-04,50.119999,49.43
7613400,QCOM,49.525158,50.439999,49.889999,2015-12-31,49.990002,50.060001
8529300,QCOM,49.94125,51.25,50.360001,2015-12-30,50.41,50.880001
14371300,QCOM,50.406881,51.25,50.07,2015-12-29,50.880001,50.279999
8395600,QCOM,49.11897,49.810001,49.23,2015-12-28,49.580002,49.450001
5352000,QCOM,49.089247,49.880001,49.00,2015-12-24,49.549999,49.00
9397900,QCOM,48.583991,49.52,48.900002,2015-12-23,49.040001,49.240002
10139800,QCOM,48.61371,49.189999,48.43,2015-12-22,49.07,48.529999
16779000,QCOM,48.306592,48.93,47.540001,2015-12-21,48.759998,47.610001
46440200,QCOM,46.988961,48.040001,47.02,2015-12-18,47.43,47.369999
15328000,QCOM,47.097939,49.599998,47.540001,2015-12-17,47.540001,49.32
13308300,QCOM,47.623009,48.599998,47.150002,2015-12-16,48.07,48.25
19880200,QCOM,47.573475,48.810001,46.799999,2015-12-15,48.02,47.709999
17157400,QCOM,46.394542,47.959999,45.93,2015-12-14,46.830002,47.41
12977600,QCOM,47.018681,48.360001,47.34,2015-12-11,47.459999,48.200001
11619500,QCOM,48.11836,49.57,48.470001,2015-12-10,48.57,48.650002
16131000,QCOM,48.138174,49.98,48.419998,2015-12-09,48.59,49.639999
18917100,QCOM,49.019898,50.959999,49.310001,2015-12-08,49.48,50.630001
10160700,QCOM,51.942467,52.540001,51.889999,2015-12-07,52.43,52.310001
16177700,QCOM,51.853304,52.57,51.41,2015-12-04,52.34,52.09
25438100,QCOM,50.922046,52.240002,50.369999,2015-12-03,51.400002,52.16
36745100,QCOM,51.367859,53.439999,51.799999,2015-12-02,51.849998,51.91
9915800,QCOM,48.841571,49.32,48.599998,2015-12-01,49.299999,48.75
13716000,QCOM,48.336315,48.860001,48.299999,2015-11-30,48.790001,48.599998
3441600,QCOM,48.08864,48.849998,48.470001,2015-11-27,48.540001,48.669998
9967100,QCOM,48.167895,49.650002,48.849998,2015-11-25,49.099998,49.41
12090100,QCOM,48.472011,49.73,48.860001,2015-11-24,49.41,49.029999
11632800,QCOM,48.040365,49.580002,48.759998,2015-11-23,48.970001,49.09
17229800,QCOM,48.678024,49.77,48.50,2015-11-20,49.619999,48.799999
20547900,QCOM,47.471374,49.279999,48.23,2015-11-19,48.389999,48.509998
45214500,QCOM,47.088778,51.939999,47.52,2015-11-18,48.00,51.939999
10686200,QCOM,51.974239,53.549999,52.57,2015-11-17,52.98,52.700001
9214000,QCOM,51.768226,52.860001,51.959999,2015-11-16,52.77,51.959999
10439900,QCOM,50.953981,52.75,51.82,2015-11-13,51.939999,52.299999
10807000,QCOM,51.581835,53.189999,52.52,2015-11-12,52.580002,52.75
11026300,QCOM,51.846706,53.240002,52.369999,2015-11-11,52.849998,52.599998
13489500,QCOM,51.277718,52.990002,51.950001,2015-11-10,52.27,52.529999
15092000,QCOM,51.934997,53.349998,52.619999,2015-11-09,52.939999,52.880001
31252900,QCOM,52.405885,53.700001,51.630001,2015-11-06,53.419998,51.630001
65856400,QCOM,50.100498,56.810001,49.919998,2015-11-05,51.07,56.73
10795900,QCOM,59.116036,61.009998,60.07,2015-11-04,60.259998,60.889999
7704300,QCOM,59.714456,61.18,60.259998,2015-11-03,60.869999,60.400002
8577200,QCOM,59.488823,60.759998,59.509998,2015-11-02,60.639999,59.700001
8630300,QCOM,58.291982,60.200001,59.419998,2015-10-30,59.419998,60.119999
5567700,QCOM,58.860973,60.23,59.580002,2015-10-29,60.00,59.669998
7738300,QCOM,59.125848,60.299999,59.23,2015-10-28,60.27,59.330002
9485900,QCOM,58.15464,59.349998,58.77,2015-10-27,59.279999,58.91
13381000,QCOM,58.085969,60.91,58.700001,2015-10-26,59.209999,60.91
9175600,QCOM,59.577115,61.189999,60.490002,2015-10-23,60.73,60.630001
10913600,QCOM,59.28281,60.639999,59.490002,2015-10-22,60.43,59.490002
6915400,QCOM,57.850528,59.77,58.889999,2015-10-21,58.970001,59.279999
9102200,QCOM,57.879957,59.209999,58.68,2015-10-20,59.00,58.68
10975200,QCOM,57.978057,59.630001,58.610001,2015-10-19,59.099998,59.459999
8870500,QCOM,58.772682,60.00,58.91,2015-10-16,59.91,59.48
9055600,QCOM,58.135019,59.91,58.66,2015-10-15,59.259998,59.00
12471600,QCOM,57.516982,59.139999,57.509998,2015-10-14,58.630001,57.52
7377300,QCOM,56.418241,58.080002,57.02,2015-10-13,57.509998,57.189999
6913400,QCOM,56.692928,58.080002,57.470001,2015-10-12,57.790001,57.630001
8883000,QCOM,56.683116,58.119999,57.369999,2015-10-09,57.779999,57.869999
8635200,QCOM,56.565395,57.68,56.32,2015-10-08,57.66,56.490002
8952300,QCOM,55.535329,57.349998,56.040001,2015-10-07,56.610001,56.560001
10428600,QCOM,55.250833,56.52,55.419998,2015-10-06,56.32,56.00
9933200,QCOM,55.162542,56.490002,55.57,2015-10-05,56.23,55.580002
13192200,QCOM,54.024563,55.150002,53.00,2015-10-02,55.07,53.07
9554900,QCOM,52.170443,53.82,53.00,2015-10-01,53.18,53.599998
12849700,QCOM,52.710001,53.810001,52.900002,2015-09-30,53.73,52.990002
9789900,QCOM,51.434681,52.91,52.169998,2015-09-29,52.43,52.50
11773100,QCOM,51.542593,53.27,52.52,2015-09-28,52.540001,53.049999
11661900,QCOM,52.209684,54.00,52.959999,2015-09-25,53.220001,53.950001
13502000,QCOM,52.258734,53.529999,52.389999,2015-09-24,53.27,53.18
7243900,QCOM,52.54323,54.150002,53.369999,2015-09-23,53.560001,54.150002
9946800,QCOM,52.916013,54.23,53.580002,2015-09-22,53.939999,53.779999
9289600,QCOM,53.357472,54.73,54.00,2015-09-21,54.389999,54.630001
26572500,QCOM,53.416334,54.959999,54.02,2015-09-18,54.450001,54.25
9698100,QCOM,53.936271,55.91,54.849998,2015-09-17,54.98,55.189999
8091900,QCOM,54.152096,55.529999,54.68,2015-09-16,55.200001,54.810001
9265000,QCOM,53.828359,55.169998,54.360001,2015-09-15,54.869999,54.82
9720700,QCOM,53.278992,54.98,54.07,2015-09-14,54.310001,54.75
10793300,QCOM,53.622346,55.16,54.349998,2015-09-11,54.66,55.049999
13997100,QCOM,54.279629,55.810001,54.279999,2015-09-10,55.330002,54.50
12577200,QCOM,53.288801,55.889999,54.16,2015-09-09,54.32,55.849998
10938500,QCOM,54.152096,55.349998,54.77,2015-09-08,55.200001,55.110001
11424700,QCOM,53.259371,55.099998,54.139999,2015-09-04,54.290001,54.939999
10717900,QCOM,54.49545,56.759998,55.470001,2015-09-03,55.549999,56.220001
11629100,QCOM,54.799567,55.880001,55.009998,2015-09-02,55.860001,55.630001
13136600,QCOM,53.975513,55.91,54.689999,2015-09-01,55.02,55.25
9898800,QCOM,55.505899,57.259998,56.349998,2015-08-31,56.580002,56.57
12673300,QCOM,55.888495,57.759998,57.029999,2015-08-28,57.450001,57.150002
18261600,QCOM,55.800941,57.450001,56.169998,2015-08-27,57.360001,57.07
22001500,QCOM,55.119967,56.740002,54.849998,2015-08-26,56.66,55.50
21855400,QCOM,52.415529,56.919998,53.740002,2015-08-25,53.880001,56.619999
29486900,QCOM,53.777474,57.810001,52.59,2015-08-24,55.279999,54.18
19647300,QCOM,56.044146,60.099998,57.560001,2015-08-21,57.610001,59.689999
13173500,QCOM,58.515109,61.34,60.150002,2015-08-20,60.150002,60.849998
11577000,QCOM,59.517112,61.619999,60.709999,2015-08-19,61.18,60.889999
10632100,QCOM,59.653306,61.849998,61.299999,2015-08-18,61.32,61.57
11549700,QCOM,60.382921,62.110001,61.48,2015-08-17,62.07,61.50
9202800,QCOM,60.22727,62.549999,61.790001,2015-08-14,61.91,61.790001
9402600,QCOM,60.344008,62.599998,61.950001,2015-08-13,62.029999,62.50
12672100,QCOM,60.879061,62.669998,61.599998,2015-08-12,62.580002,62.400002
13667000,QCOM,60.849874,63.060001,62.34,2015-08-11,62.549999,62.57
17649600,QCOM,61.433568,63.330002,62.50,2015-08-10,63.150002,62.50
17441700,QCOM,61.307101,63.43,62.599998,2015-08-07,63.02,62.759998
12280300,QCOM,61.131993,64.110001,62.650002,2015-08-06,62.84,63.75
9451300,QCOM,62.143726,64.489998,63.50,2015-08-05,63.880001,63.66
12106800,QCOM,61.725414,64.82,63.220001,2015-08-04,63.450001,64.410004
9847900,QCOM,62.678777,64.709999,64.080002,2015-08-03,64.43,64.349998
9611600,QCOM,62.639863,64.949997,64.230003,2015-07-31,64.389999,64.660004
12697200,QCOM,62.659323,64.779999,62.799999,2015-07-30,64.410004,62.990002
9779100,QCOM,61.453022,63.560001,62.75,2015-07-29,63.169998,63.080002
14090200,QCOM,61.384924,63.41,62.220001,2015-07-28,63.099998,62.34
14749700,QCOM,60.295367,62.50,61.509998,2015-07-27,61.98,61.98
18525500,QCOM,59.964609,62.200001,61.310001,2015-07-24,61.639999,61.860001
37879800,QCOM,60.100803,62.779999,60.830002,2015-07-23,61.779999,62.57
22660300,QCOM,62.445302,64.970001,64.050003,2015-07-22,64.190002,64.50
17818900,QCOM,63.369478,66.050003,64.449997,2015-07-21,65.139999,64.610001
11381000,QCOM,62.056172,64.629997,63.740002,2015-07-20,63.790001,64.629997
8953500,QCOM,62.591219,64.650002,64.010002,2015-07-17,64.339996,64.110001
10385900,QCOM,62.795518,64.68,63.380001,2015-07-16,64.550003,63.450001
8492000,QCOM,62.143726,64.199997,63.299999,2015-07-15,63.880001,63.310001
10282300,QCOM,62.202093,64.279999,63.450001,2015-07-14,63.939999,63.619999
11426600,QCOM,61.705957,63.700001,63.00,2015-07-13,63.43,63.00
12906100,QCOM,61.024982,63.07,62.330002,2015-07-10,62.73,62.41
12238900,QCOM,60.17863,63.43,61.849998,2015-07-09,61.860001,62.849998
13827900,QCOM,60.22727,62.599998,61.700001,2015-07-08,61.91,62.450001
13582600,QCOM,61.093079,63.380001,61.48,2015-07-07,62.799999,63.27
10068400,QCOM,61.394655,63.549999,62.650002,2015-07-06,63.110001,62.66
11302800,QCOM,61.394655,63.650002,62.990002,2015-07-02,63.110001,63.009998
12669900,QCOM,61.190363,63.279999,62.009998,2015-07-01,62.900002,63.099998
12697400,QCOM,60.927702,63.150002,62.450001,2015-06-30,62.630001,62.75
16549700,QCOM,60.917971,64.029999,62.580002,2015-06-29,62.619999,63.400002
34801400,QCOM,62.912251,65.559998,64.599998,2015-06-26,64.669998,65.379997
9838800,QCOM,63.486219,65.870003,65.019997,2015-06-25,65.260002,65.510002
15282700,QCOM,63.573769,67.129997,65.290001,2015-06-24,65.349998,67.080002
11791100,QCOM,65.15947,67.620003,66.760002,2015-06-23,66.980003,67.540001
11762800,QCOM,65.529139,67.629997,67.00,2015-06-22,67.360001,67.040001
13233700,QCOM,65.062182,67.510002,66.639999,2015-06-19,66.879997,67.410004
10443500,QCOM,65.529139,67.669998,66.669998,2015-06-18,67.360001,66.720001
9563600,QCOM,64.741157,67.080002,66.080002,2015-06-17,66.550003,66.690002
6746800,QCOM,64.653599,66.629997,65.93,2015-06-16,66.459999,66.449997
6817500,QCOM,64.818977,66.849998,66.059998,2015-06-15,66.629997,66.540001
6855600,QCOM,65.208106,67.550003,66.790001,2015-06-12,67.029999,67.059998
10609800,QCOM,65.762613,67.809998,67.389999,2015-06-11,67.599998,67.589996
12825900,QCOM,65.480495,67.690002,66.910004,2015-06-10,67.309998,66.910004
7611700,QCOM,65.023268,67.470001,66.769997,2015-06-09,66.839996,67.379997
9158400,QCOM,65.451311,68.199997,67.25,2015-06-08,67.279999,68.029999
8067900,QCOM,66.404678,68.959999,68.220001,2015-06-05,68.260002,68.959999
9909300,QCOM,67.027282,69.510002,68.760002,2015-06-04,68.900002,69.360001
6533300,QCOM,67.961188,70.050003,69.449997,2015-06-03,69.860001,69.800003
12071300,QCOM,67.465048,69.660004,69.059998,2015-06-02,69.349998,69.360001
8600500,QCOM,67.533145,69.900002,69.110001,2015-06-01,69.419998,69.510002
18256900,QCOM,67.319126,70.900002,69.599998,2015-05-29,69.68,70.690002
11939000,QCOM,68.207953,71.32,70.510002,2015-05-28,70.599998,70.949997
17559100,QCOM,68.613721,71.139999,69.099998,2015-05-27,71.019997,69.400002
14768600,QCOM,67.009968,69.620003,68.75,2015-05-26,69.360001,69.529999
13177300,QCOM,67.154888,69.940002,69.440002,2015-05-22,69.510002,69.57
27529700,QCOM,67.715231,70.949997,69.029999,2015-05-21,70.089996,69.629997
8420200,QCOM,66.932677,69.839996,69.220001,2015-05-20,69.279999,69.800003
7609100,QCOM,67.261161,70.419998,69.470001,2015-05-19,69.620003,70.330002
5352500,QCOM,68.034051,71.129997,70.25,2015-05-18,70.419998,70.989998
9858600,QCOM,68.652367,71.089996,70.43,2015-05-15,71.059998,70.610001
10945700,QCOM,68.130662,70.660004,69.809998,2015-05-14,70.519997,69.989998
12031200,QCOM,67.367435,70.50,69.00,2015-05-13,69.730003,69.230003
8070400,QCOM,66.459281,69.019997,68.099998,2015-05-12,68.790001,68.699997
6379200,QCOM,66.710474,69.349998,68.82,2015-05-11,69.050003,69.169998
7393300,QCOM,67.058277,69.410004,68.550003,2015-05-08,69.410004,68.849998
6514000,QCOM,66.111478,68.449997,67.790001,2015-05-07,68.43,67.800003
7858200,QCOM,65.512482,68.849998,67.50,2015-05-06,67.809998,68.199997
8660600,QCOM,66.053513,69.00,68.129997,2015-05-05,68.370003,68.849998
7013800,QCOM,66.72013,69.360001,68.220001,2015-05-04,69.059998,68.449997
7166200,QCOM,66.101815,68.540001,67.959999,2015-05-01,68.419998,68.309998
8319800,QCOM,65.696047,68.589996,67.610001,2015-04-30,68.00,68.330002
