Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
19806100,TWTR,14.08,14.68,14.00,2016-05-12,14.08,14.63
13751000,TWTR,14.59,14.86,14.44,2016-05-11,14.59,14.61
14517700,TWTR,14.63,14.69,14.16,2016-05-10,14.63,14.17
11429700,TWTR,14.20,14.47,14.15,2016-05-09,14.20,14.28
20983000,TWTR,14.40,14.40,13.98,2016-05-06,14.40,14.12
28937300,TWTR,14.12,14.98,14.08,2016-05-05,14.12,14.93
41538800,TWTR,14.84,14.88,13.92,2016-05-04,14.84,13.95
25883700,TWTR,14.01,14.25,13.90,2016-05-03,14.01,14.22
26085300,TWTR,14.40,14.77,14.17,2016-05-02,14.40,14.73
26832900,TWTR,14.62,14.93,14.32,2016-04-29,14.62,14.70
34603000,TWTR,14.64,15.09,14.62,2016-04-28,14.64,14.85
84485800,TWTR,14.86,15.28,14.81,2016-04-27,14.86,15.15
34858300,TWTR,17.75,17.98,17.08,2016-04-26,17.75,17.209999
18931300,TWTR,17.09,17.75,16.879999,2016-04-25,17.09,17.200001
14830600,TWTR,17.23,17.51,17.02,2016-04-22,17.23,17.33
13518400,TWTR,17.51,17.77,17.42,2016-04-21,17.51,17.48
17712800,TWTR,17.40,17.52,16.90,2016-04-20,17.40,16.940001
24704200,TWTR,16.92,17.389999,16.68,2016-04-19,16.92,17.370001
17254700,TWTR,17.309999,17.719999,17.059999,2016-04-18,17.309999,17.709999
16324700,TWTR,17.58,17.91,17.309999,2016-04-15,17.58,17.52
16140400,TWTR,17.530001,17.700001,17.139999,2016-04-14,17.530001,17.379999
22617700,TWTR,17.370001,17.40,16.68,2016-04-13,17.370001,16.68
14862700,TWTR,16.57,16.77,16.15,2016-04-12,16.57,16.50
14154200,TWTR,16.51,16.98,16.41,2016-04-11,16.51,16.74
18636500,TWTR,16.65,17.25,16.41,2016-04-08,16.65,17.120001
23273700,TWTR,16.98,17.59,16.85,2016-04-07,16.98,16.879999
23100700,TWTR,17.26,17.48,16.90,2016-04-06,17.26,17.120001
41507900,TWTR,17.049999,17.83,16.889999,2016-04-05,17.049999,17.59
38201600,TWTR,17.09,17.540001,15.96,2016-04-04,17.09,16.00
20921700,TWTR,15.98,16.43,15.83,2016-04-01,15.98,16.41
18849100,TWTR,16.549999,16.84,16.209999,2016-03-31,16.549999,16.40
19294600,TWTR,16.360001,16.719999,16.01,2016-03-30,16.360001,16.16
16923700,TWTR,15.97,15.99,15.33,2016-03-29,15.97,15.69
14080300,TWTR,15.60,16.01,15.40,2016-03-28,15.60,15.98
14815800,TWTR,15.91,15.99,15.57,2016-03-24,15.91,15.94
17914400,TWTR,16.01,16.91,16.01,2016-03-23,16.01,16.860001
9539500,TWTR,16.860001,17.01,16.700001,2016-03-22,16.860001,16.75
12528900,TWTR,16.889999,17.049999,16.68,2016-03-21,16.889999,16.83
21075700,TWTR,16.85,17.379999,16.76,2016-03-18,16.85,17.08
17033600,TWTR,16.85,17.15,16.620001,2016-03-17,16.85,16.65
24662300,TWTR,16.700001,16.77,16.129999,2016-03-16,16.700001,16.33
19599200,TWTR,16.190001,17.040001,16.139999,2016-03-15,16.190001,17.00
16475700,TWTR,17.120001,17.32,16.790001,2016-03-14,17.120001,16.809999
21442200,TWTR,16.809999,16.940001,16.459999,2016-03-11,16.809999,16.77
33135200,TWTR,16.610001,17.77,16.379999,2016-03-10,16.610001,17.690001
21502300,TWTR,17.66,18.74,17.52,2016-03-09,17.66,18.610001
16345700,TWTR,18.33,19.15,18.33,2016-03-08,18.33,19.10
19693500,TWTR,19.17,19.73,18.77,2016-03-07,19.17,19.110001
30046400,TWTR,19.360001,20.32,19.059999,2016-03-04,19.360001,19.450001
23200100,TWTR,19.309999,19.440001,18.48,2016-03-03,19.309999,18.530001
17177200,TWTR,18.540001,18.74,17.719999,2016-03-02,18.540001,17.85
19299200,TWTR,17.85,18.48,17.59,2016-03-01,17.85,18.469999
17329000,TWTR,18.120001,18.57,17.780001,2016-02-29,18.120001,17.959999
16314100,TWTR,17.940001,18.030001,17.50,2016-02-26,17.940001,17.719999
22336600,TWTR,17.59,17.950001,17.309999,2016-02-25,17.59,17.93
26629600,TWTR,18.00,18.09,17.110001,2016-02-24,18.00,18.00
25683700,TWTR,18.299999,18.959999,18.10,2016-02-23,18.299999,18.559999
24926900,TWTR,18.299999,18.68,17.76,2016-02-22,18.299999,18.620001
23914800,TWTR,18.309999,18.879999,17.77,2016-02-19,18.309999,18.16
34447200,TWTR,18.43,18.549999,17.52,2016-02-18,18.43,18.10
25659200,TWTR,17.459999,17.60,16.43,2016-02-17,17.459999,16.469999
17193400,TWTR,16.360001,16.40,15.67,2016-02-16,16.360001,16.09
35538100,TWTR,15.88,15.94,14.53,2016-02-12,15.88,14.54
38371000,TWTR,14.31,14.79,13.91,2016-02-11,14.31,14.07
30722500,TWTR,14.98,15.28,14.52,2016-02-10,14.98,14.55
26408800,TWTR,14.40,15.55,14.31,2016-02-09,14.40,14.62
24818000,TWTR,14.90,15.55,14.73,2016-02-08,14.90,15.51
