Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
11169200,YHOO,37.029999,37.509998,36.790001,2016-05-12,37.029999,37.389999
9997400,YHOO,37.369999,37.630001,37.200001,2016-05-11,37.369999,37.279999
7171400,YHOO,37.439999,37.580002,37.139999,2016-05-10,37.439999,37.169998
6149100,YHOO,37.18,37.349998,36.919998,2016-05-09,37.18,36.970001
9208300,YHOO,37.23,37.310001,36.490002,2016-05-06,37.23,36.549999
13699200,YHOO,36.939999,37.450001,36.860001,2016-05-05,36.939999,37.060001
9649300,YHOO,36.00,36.09,35.740002,2016-05-04,36.00,35.810001
8775000,YHOO,36.009998,36.41,35.91,2016-05-03,36.009998,36.25
6581900,YHOO,36.529999,36.740002,36.32,2016-05-02,36.529999,36.650002
11954100,YHOO,36.599998,36.98,36.150002,2016-04-29,36.599998,36.509998
13148500,YHOO,36.59,37.439999,36.509998,2016-04-28,36.59,36.84
16391200,YHOO,36.950001,37.59,36.630001,2016-04-27,36.950001,37.52
10059600,YHOO,37.110001,37.540001,36.91,2016-04-26,37.110001,37.32
9823500,YHOO,37.23,37.540001,37.18,2016-04-25,37.23,37.470001
9071800,YHOO,37.48,38.09,37.16,2016-04-22,37.48,37.50
11633700,YHOO,37.669998,38.119999,37.349998,2016-04-21,37.669998,37.919998
30758900,YHOO,37.84,38.189999,37.00,2016-04-20,37.84,37.099998
20014100,YHOO,36.330002,36.73,36.110001,2016-04-19,36.330002,36.459999
17723000,YHOO,36.52,37.00,35.880001,2016-04-18,36.52,36.240002
19016200,YHOO,36.509998,37.150002,36.419998,2016-04-15,36.509998,37.130001
16609000,YHOO,37.169998,37.50,36.849998,2016-04-14,37.169998,37.470001
17158700,YHOO,37.310001,37.349998,36.900002,2016-04-13,37.310001,36.939999
10439400,YHOO,36.66,36.830002,36.279999,2016-04-12,36.66,36.650002
13709600,YHOO,36.48,36.849998,36.32,2016-04-11,36.48,36.380001
20251100,YHOO,36.07,36.919998,35.619999,2016-04-08,36.07,36.849998
38653800,YHOO,36.169998,37.25,35.720001,2016-04-07,36.169998,35.860001
19418600,YHOO,36.66,37.00,36.310001,2016-04-06,36.66,36.400002
12439200,YHOO,36.41,36.919998,36.220001,2016-04-05,36.41,36.700001
20210800,YHOO,37.02,37.50,36.540001,2016-04-04,37.02,36.549999
13650400,YHOO,36.48,36.880001,36.310001,2016-04-01,36.48,36.540001
18666200,YHOO,36.810001,37.02,36.50,2016-03-31,36.810001,36.509998
19836500,YHOO,36.560001,37.279999,36.439999,2016-03-30,36.560001,36.610001
23166500,YHOO,36.32,36.43,35.009998,2016-03-29,36.32,35.049999
12976800,YHOO,35.23,35.450001,34.619999,2016-03-28,35.23,35.389999
14101500,YHOO,34.860001,34.869999,33.93,2016-03-24,34.860001,34.450001
12192600,YHOO,34.799999,35.700001,34.709999,2016-03-23,34.799999,35.43
11272300,YHOO,35.41,35.610001,34.68,2016-03-22,35.41,34.68
13279400,YHOO,35.470001,36.099998,35.00,2016-03-21,35.470001,35.00
20490800,YHOO,35.169998,35.209999,34.380001,2016-03-18,35.169998,34.540001
9334100,YHOO,34.279999,34.549999,33.869999,2016-03-17,34.279999,33.880001
10975700,YHOO,34.009998,34.080002,33.00,2016-03-16,34.009998,33.029999
10660800,YHOO,33.259998,33.459999,33.110001,2016-03-15,33.259998,33.32
7960300,YHOO,33.580002,34.09,33.509998,2016-03-14,33.580002,33.75
11682700,YHOO,33.810001,33.860001,32.84,2016-03-11,33.810001,33.290001
19452000,YHOO,32.82,33.599998,32.09,2016-03-10,32.82,33.59
12647100,YHOO,33.509998,33.52,32.779999,2016-03-09,33.509998,33.09
21007300,YHOO,32.93,33.82,32.84,2016-03-08,32.93,33.66
22924000,YHOO,33.959999,34.380001,33.59,2016-03-07,33.959999,33.68
22915200,YHOO,33.860001,33.93,32.759998,2016-03-04,33.860001,32.91
11355600,YHOO,32.880001,33.209999,32.419998,2016-03-03,32.880001,32.709999
10458600,YHOO,32.91,33.240002,32.77,2016-03-02,32.91,32.810001
14833600,YHOO,32.799999,32.849998,32.040001,2016-03-01,32.799999,32.040001
19208700,YHOO,31.790001,32.459999,31.309999,2016-02-29,31.790001,31.309999
16680200,YHOO,31.370001,31.90,31.219999,2016-02-26,31.370001,31.68
19842300,YHOO,31.360001,31.360001,30.24,2016-02-25,31.360001,30.74
12612000,YHOO,30.950001,31.120001,29.799999,2016-02-24,30.950001,30.41
16847500,YHOO,30.67,31.379999,30.51,2016-02-23,30.67,31.200001
21455300,YHOO,31.17,31.209999,30.389999,2016-02-22,31.17,30.65
20706100,YHOO,30.040001,30.23,29.700001,2016-02-19,30.040001,30.190001
