Symbol,Date,High
EGHT,2016-05-13,13.65
EGHT,2016-05-12,13.65
EGHT,2016-05-11,13.65
EGHT,2016-05-10,13.65
EGHT,2016-05-09,13.65
EGHT,2016-05-06,13.65
EGHT,2016-05-05,13.65
EGHT,2016-05-04,13.65
EGHT,2016-05-03,13.65
EGHT,2016-05-02,13.65
EGHT,2016-04-29,13.65
EGHT,2016-04-28,13.65
EGHT,2016-04-27,13.65
EGHT,2016-04-26,13.65
EGHT,2016-04-25,13.65
EGHT,2016-04-22,13.65
EGHT,2016-04-21,13.65
EGHT,2016-04-20,13.65
EGHT,2016-04-19,13.65
EGHT,2016-04-18,13.65
EGHT,2016-04-15,13.65
EGHT,2016-04-14,13.65
EGHT,2016-04-13,13.65
EGHT,2016-04-12,13.65
EGHT,2016-04-11,13.65
EGHT,2016-04-08,13.65
EGHT,2016-04-07,13.65
EGHT,2016-04-06,13.65
EGHT,2016-04-05,13.65
EGHT,2016-04-04,13.65
EGHT,2016-04-01,13.65
EGHT,2016-03-31,13.65
EGHT,2016-03-30,13.65
EGHT,2016-03-29,13.65
EGHT,2016-03-28,13.65
EGHT,2016-03-24,13.65
EGHT,2016-03-23,13.65
EGHT,2016-03-22,13.65
EGHT,2016-03-21,13.65
EGHT,2016-03-18,13.65
EGHT,2016-03-17,13.65
EGHT,2016-03-16,13.65
EGHT,2016-03-15,13.65
EGHT,2016-03-14,13.65
EGHT,2016-03-11,13.65
EGHT,2016-03-10,13.65
EGHT,2016-03-09,13.65
EGHT,2016-03-08,13.65
EGHT,2016-03-07,13.65
EGHT,2016-03-04,13.65
EGHT,2016-03-03,13.65
EGHT,2016-03-02,13.65
EGHT,2016-03-01,13.65
EGHT,2016-02-29,13.65
EGHT,2016-02-26,13.65
EGHT,2016-02-25,13.65
EGHT,2016-02-24,13.65
EGHT,2016-02-23,13.65
EGHT,2016-02-22,13.65
EGHT,2016-02-19,13.65
EGHT,2016-02-18,13.65
EGHT,2016-02-17,13.65
EGHT,2016-02-16,13.65
EGHT,2016-02-12,13.65
EGHT,2016-02-11,13.65
EGHT,2016-02-10,13.65
EGHT,2016-02-09,13.65
EGHT,2016-02-08,13.65
EGHT,2016-02-05,13.65
EGHT,2016-02-04,13.65
EGHT,2016-02-03,13.65
EGHT,2016-02-02,13.65
EGHT,2016-02-01,13.65
EGHT,2016-01-29,13.65
EGHT,2016-01-28,13.65
EGHT,2016-01-27,13.65
EGHT,2016-01-26,13.65
EGHT,2016-01-25,13.65
EGHT,2016-01-22,12.30
EGHT,2016-01-21,12.30
EGHT,2016-01-20,12.30
EGHT,2016-01-19,12.30
EGHT,2016-01-15,12.30
EGHT,2016-01-14,12.30
EGHT,2016-01-13,12.30
EGHT,2016-01-12,12.30
EGHT,2016-01-11,12.30
EGHT,2016-01-08,12.30
EGHT,2016-01-07,12.30
EGHT,2016-01-06,12.30
EGHT,2016-01-05,12.30
EGHT,2016-01-04,12.30
EGHT,2015-12-31,12.30
EGHT,2015-12-30,12.30
EGHT,2015-12-29,12.30
EGHT,2015-12-28,12.30
EGHT,2015-12-24,12.30
EGHT,2015-12-23,12.30
EGHT,2015-12-22,12.30
EGHT,2015-12-21,12.30
EGHT,2015-12-18,12.30
EGHT,2015-12-17,12.30
EGHT,2015-12-16,12.30
EGHT,2015-12-15,12.30
EGHT,2015-12-14,12.30
EGHT,2015-12-11,12.30
EGHT,2015-12-10,12.30
EGHT,2015-12-09,12.30
EGHT,2015-12-08,12.30
EGHT,2015-12-07,12.30
EGHT,2015-12-04,12.30
EGHT,2015-12-03,12.30
EGHT,2015-12-02,12.30
EGHT,2015-12-01,12.30
EGHT,2015-11-30,12.22
EGHT,2015-11-27,12.22
EGHT,2015-11-25,12.22
EGHT,2015-11-24,12.22
EGHT,2015-11-23,12.22
EGHT,2015-11-20,12.22
EGHT,2015-11-19,12.22
EGHT,2015-11-18,11.72
EGHT,2015-11-17,11.37
EGHT,2015-11-16,11.25
EGHT,2015-11-13,11.25
EGHT,2015-11-12,11.25
EGHT,2015-11-11,11.22
EGHT,2015-11-10,11.20
EGHT,2015-11-09,11.20
EGHT,2015-11-06,11.20
EGHT,2015-11-05,11.20
EGHT,2015-11-04,11.20
EGHT,2015-11-03,11.20
EGHT,2015-11-02,11.20
EGHT,2015-10-30,11.20
EGHT,2015-10-29,11.18
EGHT,2015-10-28,10.78
EGHT,2015-10-27,10.75
EGHT,2015-10-26,10.75
EGHT,2015-10-23,10.17
EGHT,2015-10-22,9.89
EGHT,2015-10-21,9.73
EGHT,2015-10-20,9.51
EGHT,2015-10-19,9.51
EGHT,2015-10-16,9.51
EGHT,2015-10-15,9.51
EGHT,2015-10-14,9.51
EGHT,2015-10-13,9.51
EGHT,2015-10-12,9.51
EGHT,2015-10-09,9.51
EGHT,2015-10-08,9.51
EGHT,2015-10-07,9.51
EGHT,2015-10-06,9.51
EGHT,2015-10-05,9.51
EGHT,2015-10-02,9.51
EGHT,2015-10-01,9.51
EGHT,2015-09-30,9.51
EGHT,2015-09-29,9.51
EGHT,2015-09-28,9.51
EGHT,2015-09-25,9.51
EGHT,2015-09-24,9.51
EGHT,2015-09-23,9.51
EGHT,2015-09-22,9.51
EGHT,2015-09-21,9.51
EGHT,2015-09-18,9.51
EGHT,2015-09-17,9.51
EGHT,2015-09-16,9.51
EGHT,2015-09-15,9.51
EGHT,2015-09-14,9.51
EGHT,2015-09-11,9.51
EGHT,2015-09-10,9.51
EGHT,2015-09-09,9.51
EGHT,2015-09-08,9.51
EGHT,2015-09-04,9.51
EGHT,2015-09-03,9.51
EGHT,2015-09-02,9.51
EGHT,2015-09-01,9.51
EGHT,2015-08-31,9.51
EGHT,2015-08-28,9.51
EGHT,2015-08-27,9.51
EGHT,2015-08-26,9.51
EGHT,2015-08-25,9.51
EGHT,2015-08-24,9.51
EGHT,2015-08-21,9.51
EGHT,2015-08-20,9.51
EGHT,2015-08-19,9.51
EGHT,2015-08-18,9.51
EGHT,2015-08-17,9.51
EGHT,2015-08-14,9.51
EGHT,2015-08-13,9.51
EGHT,2015-08-12,9.51
EGHT,2015-08-11,9.51
EGHT,2015-08-10,9.51
EGHT,2015-08-07,9.51
EGHT,2015-08-06,9.51
EGHT,2015-08-05,9.51
EGHT,2015-08-04,9.51
EGHT,2015-08-03,9.51
EGHT,2015-07-31,9.51
EGHT,2015-07-30,9.51
EGHT,2015-07-29,9.51
EGHT,2015-07-28,9.51
EGHT,2015-07-27,9.51
EGHT,2015-07-24,9.51
EGHT,2015-07-23,9.51
EGHT,2015-07-22,9.51
EGHT,2015-07-21,9.51
EGHT,2015-07-20,9.51
EGHT,2015-07-17,9.51
EGHT,2015-07-16,9.51
EGHT,2015-07-15,9.51
EGHT,2015-07-14,9.51
EGHT,2015-07-13,9.51
EGHT,2015-07-10,9.51
EGHT,2015-07-09,9.51
EGHT,2015-07-08,9.51
EGHT,2015-07-07,9.51
EGHT,2015-07-06,9.51
EGHT,2015-07-02,9.51
EGHT,2015-07-01,9.51
EGHT,2015-06-30,9.51
EGHT,2015-06-29,9.51
EGHT,2015-06-26,9.51
EGHT,2015-06-25,9.46
EGHT,2015-06-24,9.45
EGHT,2015-06-23,9.45
EGHT,2015-06-22,9.45
EGHT,2015-06-19,9.45
EGHT,2015-06-18,9.45
EGHT,2015-06-17,9.45
EGHT,2015-06-16,9.45
EGHT,2015-06-15,9.45
EGHT,2015-06-12,9.45
EGHT,2015-06-11,9.45
EGHT,2015-06-10,9.45
EGHT,2015-06-09,9.45
EGHT,2015-06-08,9.45
EGHT,2015-06-05,9.45
EGHT,2015-06-04,9.45
EGHT,2015-06-03,9.45
EGHT,2015-06-02,9.45
EGHT,2015-06-01,9.45
EGHT,2015-05-29,9.45
EGHT,2015-05-28,9.45
EGHT,2015-05-27,9.45
EGHT,2015-05-26,9.45
EGHT,2015-05-22,9.45
EGHT,2015-05-21,9.45
EGHT,2015-05-20,9.45
EGHT,2015-05-19,9.45
EGHT,2015-05-18,9.45
EGHT,2015-05-15,9.45
EGHT,2015-05-14,9.45
EGHT,2015-05-13,9.45
EGHT,2015-05-12,9.45
EGHT,2015-05-11,9.63
EGHT,2015-05-08,9.94
EGHT,2015-05-07,10.09
EGHT,2015-05-06,10.09
EGHT,2015-05-05,10.09
EGHT,2015-05-04,10.09
EGHT,2015-05-01,10.09
EGHT,2015-04-30,10.16
EGHT,2015-04-29,10.61
EGHT,2015-04-28,11.15
EGHT,2015-04-27,11.15
EGHT,2015-04-24,11.15
EGHT,2015-04-23,11.15
EGHT,2015-04-22,11.15
EGHT,2015-04-21,11.15
EGHT,2015-04-20,11.15
EGHT,2015-04-17,11.15
EGHT,2015-04-16,11.15
EGHT,2015-04-15,11.15
EGHT,2015-04-14,11.15
EGHT,2015-04-13,11.15
EGHT,2015-04-10,11.15
EGHT,2015-04-09,11.15
EGHT,2015-04-08,11.17
EGHT,2015-04-07,11.19
EGHT,2015-04-06,11.19
EGHT,2015-04-02,11.19
EGHT,2015-04-01,11.19
EGHT,2015-03-31,11.19
EGHT,2015-03-30,11.19
EGHT,2015-03-27,11.27
EGHT,2015-03-26,11.27
EGHT,2015-03-25,11.34
EGHT,2015-03-24,11.43
EGHT,2015-03-23,11.46
EGHT,2015-03-20,11.64
EGHT,2015-03-19,11.64
EGHT,2015-03-18,11.64
EGHT,2015-03-17,11.64
EGHT,2015-03-16,11.64
EGHT,2015-03-13,11.64
EGHT,2015-03-12,11.64
EGHT,2015-03-11,11.64
EGHT,2015-03-10,11.64
EGHT,2015-03-09,11.64
EGHT,2015-03-06,11.64
EGHT,2015-03-05,11.64
EGHT,2015-03-04,11.64
EGHT,2015-03-03,11.64
EGHT,2015-03-02,11.64
EGHT,2015-02-27,11.64
EGHT,2015-02-26,11.64
EGHT,2015-02-25,11.64
EGHT,2015-02-24,11.64
EGHT,2015-02-23,11.64
EGHT,2015-02-20,11.64
EGHT,2015-02-19,11.64
EGHT,2015-02-18,11.64
EGHT,2015-02-17,11.64
EGHT,2015-02-13,11.64
EGHT,2015-02-12,11.64
EGHT,2015-02-11,11.64
EGHT,2015-02-10,11.64
EGHT,2015-02-09,11.64
EGHT,2015-02-06,11.64
EGHT,2015-02-05,11.64
EGHT,2015-02-04,11.64
EGHT,2015-02-03,11.64
EGHT,2015-02-02,11.64
EGHT,2015-01-30,11.64
EGHT,2015-01-29,11.64
EGHT,2015-01-28,11.64
EGHT,2015-01-27,11.64
EGHT,2015-01-26,11.64
EGHT,2015-01-23,11.64
EGHT,2015-01-22,11.64
EGHT,2015-01-21,11.64
EGHT,2015-01-20,11.64
EGHT,2015-01-16,11.64
EGHT,2015-01-15,11.64
EGHT,2015-01-14,11.64
EGHT,2015-01-13,11.64
EGHT,2015-01-12,11.64
EGHT,2015-01-09,11.64
EGHT,2015-01-08,11.64
EGHT,2015-01-07,11.64
EGHT,2015-01-06,11.64
EGHT,2015-01-05,11.64
EGHT,2015-01-02,11.64
EGHT,2014-12-31,11.64
EGHT,2014-12-30,11.64
EGHT,2014-12-29,11.64
EGHT,2014-12-26,11.64
EGHT,2014-12-24,11.64
EGHT,2014-12-23,11.64
EGHT,2014-12-22,11.64
EGHT,2014-12-19,11.64
EGHT,2014-12-18,11.64
EGHT,2014-12-17,11.64
EGHT,2014-12-16,11.64
EGHT,2014-12-15,11.64
EGHT,2014-12-12,11.64
EGHT,2014-12-11,11.64
EGHT,2014-12-10,11.64
EGHT,2014-12-09,11.64
EGHT,2014-12-08,11.64
EGHT,2014-12-05,11.64
EGHT,2014-12-04,11.64
EGHT,2014-12-03,11.64
EGHT,2014-12-02,11.64
EGHT,2014-12-01,11.64
EGHT,2014-11-28,11.64
EGHT,2014-11-26,11.64
EGHT,2014-11-25,11.64
EGHT,2014-11-24,11.64
EGHT,2014-11-21,11.64
EGHT,2014-11-20,11.64
EGHT,2014-11-19,11.64
EGHT,2014-11-18,11.64
EGHT,2014-11-17,11.64
EGHT,2014-11-14,11.64
EGHT,2014-11-13,11.64
EGHT,2014-11-12,11.64
EGHT,2014-11-11,11.64
EGHT,2014-11-10,11.64
EGHT,2014-11-07,11.64
EGHT,2014-11-06,11.64
EGHT,2014-11-05,11.64
EGHT,2014-11-04,11.64
EGHT,2014-11-03,11.64
EGHT,2014-10-31,11.64
EGHT,2014-10-30,11.64
EGHT,2014-10-29,11.64
EGHT,2014-10-28,11.64
EGHT,2014-10-27,11.70
EGHT,2014-10-24,12.10
