Symbol,Date,High
TWTR,2016-05-12,38.82
TWTR,2016-05-11,38.82
TWTR,2016-05-10,38.82
TWTR,2016-05-09,38.82
TWTR,2016-05-06,38.82
TWTR,2016-05-05,38.959999
TWTR,2016-05-04,39.240002
TWTR,2016-05-03,39.740002
TWTR,2016-05-02,41.09
TWTR,2016-04-29,52.220001
TWTR,2016-04-28,52.540001
TWTR,2016-04-27,52.540001
TWTR,2016-04-26,52.540001
TWTR,2016-04-25,52.540001
TWTR,2016-04-22,52.540001
TWTR,2016-04-21,52.540001
TWTR,2016-04-20,52.540001
TWTR,2016-04-19,52.540001
TWTR,2016-04-18,52.540001
TWTR,2016-04-15,52.540001
TWTR,2016-04-14,52.540001
TWTR,2016-04-13,52.540001
TWTR,2016-04-12,52.990002
TWTR,2016-04-11,53.490002
TWTR,2016-04-08,53.490002
TWTR,2016-04-07,53.490002
TWTR,2016-04-06,53.490002
TWTR,2016-04-05,53.490002
TWTR,2016-04-04,53.490002
TWTR,2016-04-01,53.490002
TWTR,2016-03-31,53.490002
TWTR,2016-03-30,53.490002
TWTR,2016-03-29,53.490002
TWTR,2016-03-28,53.490002
TWTR,2016-03-24,53.490002
TWTR,2016-03-23,53.490002
TWTR,2016-03-22,53.490002
TWTR,2016-03-21,53.490002
TWTR,2016-03-18,53.490002
TWTR,2016-03-17,53.490002
TWTR,2016-03-16,53.490002
TWTR,2016-03-15,53.490002
TWTR,2016-03-14,53.490002
TWTR,2016-03-11,53.490002
TWTR,2016-03-10,53.490002
TWTR,2016-03-09,53.490002
TWTR,2016-03-08,53.490002
TWTR,2016-03-07,53.490002
TWTR,2016-03-04,53.490002
TWTR,2016-03-03,53.490002
TWTR,2016-03-02,53.490002
TWTR,2016-03-01,53.490002
TWTR,2016-02-29,53.490002
TWTR,2016-02-26,53.490002
TWTR,2016-02-25,53.490002
TWTR,2016-02-24,53.490002
TWTR,2016-02-23,53.490002
TWTR,2016-02-22,53.490002
TWTR,2016-02-19,53.490002
TWTR,2016-02-18,53.490002
TWTR,2016-02-17,53.490002
TWTR,2016-02-16,53.490002
TWTR,2016-02-12,53.490002
TWTR,2016-02-11,53.490002
TWTR,2016-02-10,53.490002
TWTR,2016-02-09,53.490002
TWTR,2016-02-08,53.490002
TWTR,2016-02-05,53.490002
TWTR,2016-02-04,53.490002
TWTR,2016-02-03,53.490002
TWTR,2016-02-02,53.490002
TWTR,2016-02-01,53.490002
TWTR,2016-01-29,53.490002
TWTR,2016-01-28,53.490002
TWTR,2016-01-27,53.490002
TWTR,2016-01-26,53.490002
TWTR,2016-01-25,53.490002
TWTR,2016-01-22,53.490002
TWTR,2016-01-21,53.490002
TWTR,2016-01-20,53.490002
TWTR,2016-01-19,53.490002
TWTR,2016-01-15,53.490002
TWTR,2016-01-14,53.490002
TWTR,2016-01-13,53.490002
TWTR,2016-01-12,53.490002
TWTR,2016-01-11,53.490002
TWTR,2016-01-08,53.490002
TWTR,2016-01-07,53.490002
TWTR,2016-01-06,53.490002
TWTR,2016-01-05,53.490002
TWTR,2016-01-04,53.490002
TWTR,2015-12-31,53.490002
TWTR,2015-12-30,53.490002
TWTR,2015-12-29,53.490002
TWTR,2015-12-28,53.490002
TWTR,2015-12-24,53.490002
TWTR,2015-12-23,53.490002
TWTR,2015-12-22,53.490002
TWTR,2015-12-21,53.490002
TWTR,2015-12-18,53.490002
TWTR,2015-12-17,53.490002
TWTR,2015-12-16,53.490002
TWTR,2015-12-15,53.490002
TWTR,2015-12-14,53.490002
TWTR,2015-12-11,53.490002
TWTR,2015-12-10,53.490002
TWTR,2015-12-09,53.490002
TWTR,2015-12-08,53.490002
TWTR,2015-12-07,53.490002
TWTR,2015-12-04,53.490002
TWTR,2015-12-03,53.490002
TWTR,2015-12-02,53.490002
TWTR,2015-12-01,53.490002
TWTR,2015-11-30,53.490002
TWTR,2015-11-27,53.490002
TWTR,2015-11-25,53.490002
TWTR,2015-11-24,53.490002
TWTR,2015-11-23,53.490002
TWTR,2015-11-20,53.490002
TWTR,2015-11-19,53.490002
TWTR,2015-11-18,53.490002
TWTR,2015-11-17,53.490002
TWTR,2015-11-16,53.490002
TWTR,2015-11-13,53.490002
TWTR,2015-11-12,53.490002
TWTR,2015-11-11,53.490002
TWTR,2015-11-10,53.490002
TWTR,2015-11-09,53.490002
TWTR,2015-11-06,53.490002
TWTR,2015-11-05,53.490002
TWTR,2015-11-04,53.490002
TWTR,2015-11-03,53.490002
TWTR,2015-11-02,53.490002
TWTR,2015-10-30,53.490002
TWTR,2015-10-29,53.490002
TWTR,2015-10-28,53.490002
TWTR,2015-10-27,53.490002
TWTR,2015-10-26,53.490002
TWTR,2015-10-23,53.490002
TWTR,2015-10-22,53.490002
TWTR,2015-10-21,53.490002
TWTR,2015-10-20,53.490002
TWTR,2015-10-19,53.490002
TWTR,2015-10-16,53.490002
TWTR,2015-10-15,53.490002
TWTR,2015-10-14,55.66
TWTR,2015-10-13,55.990002
TWTR,2015-10-12,55.990002
TWTR,2015-10-09,55.990002
TWTR,2015-10-08,55.990002
TWTR,2015-10-07,55.990002
TWTR,2015-10-06,55.990002
TWTR,2015-10-05,55.990002
TWTR,2015-10-02,55.990002
TWTR,2015-10-01,55.990002
TWTR,2015-09-30,55.990002
TWTR,2015-09-29,55.990002
TWTR,2015-09-28,55.990002
TWTR,2015-09-25,55.990002
TWTR,2015-09-24,55.990002
TWTR,2015-09-23,55.990002
TWTR,2015-09-22,55.990002
TWTR,2015-09-21,55.990002
TWTR,2015-09-18,55.990002
TWTR,2015-09-17,55.990002
TWTR,2015-09-16,55.990002
TWTR,2015-09-15,55.990002
TWTR,2015-09-14,55.990002
TWTR,2015-09-11,55.990002
TWTR,2015-09-10,55.990002
TWTR,2015-09-09,55.990002
TWTR,2015-09-08,55.990002
TWTR,2015-09-04,55.990002
TWTR,2015-09-03,55.990002
TWTR,2015-09-02,55.990002
TWTR,2015-09-01,55.990002
TWTR,2015-08-31,55.990002
TWTR,2015-08-28,55.990002
TWTR,2015-08-27,55.990002
TWTR,2015-08-26,55.990002
TWTR,2015-08-25,55.990002
TWTR,2015-08-24,55.990002
TWTR,2015-08-21,55.990002
TWTR,2015-08-20,55.990002
TWTR,2015-08-19,55.990002
TWTR,2015-08-18,55.990002
TWTR,2015-08-17,55.990002
TWTR,2015-08-14,55.990002
TWTR,2015-08-13,55.990002
TWTR,2015-08-12,55.990002
TWTR,2015-08-11,55.990002
TWTR,2015-08-10,55.990002
TWTR,2015-08-07,55.990002
TWTR,2015-08-06,55.990002
TWTR,2015-08-05,55.990002
TWTR,2015-08-04,55.990002
TWTR,2015-08-03,55.990002
TWTR,2015-07-31,55.990002
TWTR,2015-07-30,55.990002
TWTR,2015-07-29,55.990002
TWTR,2015-07-28,55.990002
TWTR,2015-07-27,55.990002
TWTR,2015-07-24,55.990002
TWTR,2015-07-23,55.990002
TWTR,2015-07-22,55.990002
