Symbol,Date,Profit
EGHT,2016-05-13,6.3
EGHT,2016-05-12,6.3
EGHT,2016-05-11,6.3
EGHT,2016-05-10,6.3
EGHT,2016-05-09,6.3
EGHT,2016-05-06,6.3
EGHT,2016-05-05,6.3
EGHT,2016-05-04,6.3
EGHT,2016-05-03,6.3
EGHT,2016-05-02,6.3
EGHT,2016-04-29,6.3
EGHT,2016-04-28,6.3
EGHT,2016-04-27,6.3
EGHT,2016-04-26,6.3
EGHT,2016-04-25,6.3
EGHT,2016-04-22,6.3
EGHT,2016-04-21,6.3
EGHT,2016-04-20,6.3
EGHT,2016-04-19,6.3
EGHT,2016-04-18,6.3
EGHT,2016-04-15,6.3
EGHT,2016-04-14,6.3
EGHT,2016-04-13,6.3
EGHT,2016-04-12,6.3
EGHT,2016-04-11,6.3
EGHT,2016-04-08,6.3
EGHT,2016-04-07,6.3
EGHT,2016-04-06,6.3
EGHT,2016-04-05,6.3
EGHT,2016-04-04,6.3
EGHT,2016-04-01,6.3
EGHT,2016-03-31,6.3
EGHT,2016-03-30,6.3
EGHT,2016-03-29,6.3
EGHT,2016-03-28,6.3
EGHT,2016-03-24,6.3
EGHT,2016-03-23,6.3
EGHT,2016-03-22,6.3
EGHT,2016-03-21,6.3
EGHT,2016-03-18,6.3
EGHT,2016-03-17,6.4
EGHT,2016-03-16,6.6
EGHT,2016-03-15,6.6
EGHT,2016-03-14,6.6
EGHT,2016-03-11,6.65
EGHT,2016-03-10,6.65
EGHT,2016-03-09,6.65
EGHT,2016-03-08,6.65
EGHT,2016-03-07,6.65
EGHT,2016-03-04,6.65
EGHT,2016-03-03,6.65
EGHT,2016-03-02,6.65
EGHT,2016-03-01,6.65
EGHT,2016-02-29,6.65
EGHT,2016-02-26,6.65
EGHT,2016-02-25,6.65
EGHT,2016-02-24,6.65
EGHT,2016-02-23,6.65
EGHT,2016-02-22,6.65
EGHT,2016-02-19,6.65
EGHT,2016-02-18,6.65
EGHT,2016-02-17,6.65
EGHT,2016-02-16,6.65
EGHT,2016-02-12,6.65
EGHT,2016-02-11,6.65
EGHT,2016-02-10,6.65
EGHT,2016-02-09,6.65
EGHT,2016-02-08,6.65
EGHT,2016-02-05,6.65
EGHT,2016-02-04,6.65
EGHT,2016-02-03,6.65
EGHT,2016-02-02,6.65
EGHT,2016-02-01,6.65
EGHT,2016-01-29,6.65
EGHT,2016-01-28,6.65
EGHT,2016-01-27,6.65
EGHT,2016-01-26,6.65
EGHT,2016-01-25,6.65
EGHT,2016-01-22,5.3
EGHT,2016-01-21,5.3
EGHT,2016-01-20,5.3
EGHT,2016-01-19,5.3
EGHT,2016-01-15,5.3
EGHT,2016-01-14,5.3
EGHT,2016-01-13,5.3
EGHT,2016-01-12,5.3
EGHT,2016-01-11,5.3
EGHT,2016-01-08,5.3
EGHT,2016-01-07,5.3
EGHT,2016-01-06,5.3
EGHT,2016-01-05,5.3
EGHT,2016-01-04,5.3
EGHT,2015-12-31,5.3
EGHT,2015-12-30,5.3
EGHT,2015-12-29,5.3
EGHT,2015-12-28,5.3
EGHT,2015-12-24,5.3
EGHT,2015-12-23,5.3
EGHT,2015-12-22,5.3
EGHT,2015-12-21,5.3
EGHT,2015-12-18,5.3
EGHT,2015-12-17,5.3
EGHT,2015-12-16,5.3
EGHT,2015-12-15,5.3
EGHT,2015-12-14,5.3
