Symbol,Date,Profit
GOOG,2016-05-12,274.690002
GOOG,2016-05-11,274.690002
GOOG,2016-05-10,274.690002
GOOG,2016-05-09,274.690002
GOOG,2016-05-06,274.690002
GOOG,2016-05-05,274.690002
GOOG,2016-05-04,274.690002
GOOG,2016-05-03,274.690002
GOOG,2016-05-02,274.690002
GOOG,2016-04-29,274.690002
GOOG,2016-04-28,274.690002
GOOG,2016-04-27,274.690002
GOOG,2016-04-26,274.690002
GOOG,2016-04-25,274.690002
GOOG,2016-04-22,274.690002
GOOG,2016-04-21,274.690002
GOOG,2016-04-20,274.690002
GOOG,2016-04-19,274.690002
GOOG,2016-04-18,274.690002
GOOG,2016-04-15,274.690002
GOOG,2016-04-14,274.690002
GOOG,2016-04-13,274.690002
GOOG,2016-04-12,274.690002
GOOG,2016-04-11,274.690002
GOOG,2016-04-08,274.690002
GOOG,2016-04-07,274.690002
GOOG,2016-04-06,274.690002
GOOG,2016-04-05,274.690002
GOOG,2016-04-04,274.690002
GOOG,2016-04-01,274.690002
GOOG,2016-03-31,274.690002
GOOG,2016-03-30,274.690002
GOOG,2016-03-29,274.690002
GOOG,2016-03-28,274.690002
GOOG,2016-03-24,274.690002
GOOG,2016-03-23,274.690002
GOOG,2016-03-22,274.690002
GOOG,2016-03-21,274.690002
GOOG,2016-03-18,274.690002
GOOG,2016-03-17,274.690002
GOOG,2016-03-16,274.690002
GOOG,2016-03-15,274.690002
GOOG,2016-03-14,274.690002
GOOG,2016-03-11,274.690002
GOOG,2016-03-10,274.690002
GOOG,2016-03-09,274.690002
GOOG,2016-03-08,274.690002
GOOG,2016-03-07,274.690002
GOOG,2016-03-04,274.690002
GOOG,2016-03-03,274.690002
GOOG,2016-03-02,274.690002
GOOG,2016-03-01,274.690002
GOOG,2016-02-29,274.690002
GOOG,2016-02-26,274.690002
GOOG,2016-02-25,274.690002
GOOG,2016-02-24,274.690002
GOOG,2016-02-23,274.690002
GOOG,2016-02-22,274.690002
GOOG,2016-02-19,274.690002
GOOG,2016-02-18,274.690002
GOOG,2016-02-17,274.690002
GOOG,2016-02-16,274.690002
GOOG,2016-02-12,274.690002
GOOG,2016-02-11,274.690002
GOOG,2016-02-10,274.690002
GOOG,2016-02-09,274.690002
GOOG,2016-02-08,274.690002
GOOG,2016-02-05,274.690002
GOOG,2016-02-04,274.690002
GOOG,2016-02-03,274.690002
GOOG,2016-02-02,278.777706
GOOG,2016-02-01,278.777706
GOOG,2016-01-29,278.777706
GOOG,2016-01-28,278.777706
GOOG,2016-01-27,278.777706
GOOG,2016-01-26,278.777706
GOOG,2016-01-25,278.777706
GOOG,2016-01-22,278.777706
GOOG,2016-01-21,279.977713
GOOG,2016-01-20,282.217713
GOOG,2016-01-19,286.977746
GOOG,2016-01-15,287.587756
GOOG,2016-01-14,292.417775
GOOG,2016-01-13,292.417775
GOOG,2016-01-12,292.417775
GOOG,2016-01-11,292.417775
GOOG,2016-01-08,292.417775
GOOG,2016-01-07,292.417775
GOOG,2016-01-06,292.417775
GOOG,2016-01-05,292.417775
GOOG,2016-01-04,292.417775
GOOG,2015-12-31,292.417775
GOOG,2015-12-30,292.417775
GOOG,2015-12-29,288.392812
GOOG,2015-12-28,288.392812
GOOG,2015-12-24,288.392812
GOOG,2015-12-23,288.392812
GOOG,2015-12-22,288.392812
GOOG,2015-12-21,288.392812
GOOG,2015-12-18,288.392812
GOOG,2015-12-17,288.392812
GOOG,2015-12-16,288.392812
