Symbol,Date,Low
AAPL,2016-05-12,91.849998
AAPL,2016-05-11,91.849998
AAPL,2016-05-10,91.849998
AAPL,2016-05-09,91.849998
AAPL,2016-05-06,92.00
AAPL,2016-05-05,92.00
AAPL,2016-05-04,92.00
AAPL,2016-05-03,92.00
AAPL,2016-05-02,92.00
AAPL,2016-04-29,92.00
AAPL,2016-04-28,92.00
AAPL,2016-04-27,92.00
AAPL,2016-04-26,92.00
AAPL,2016-04-25,92.00
AAPL,2016-04-22,92.00
AAPL,2016-04-21,92.00
AAPL,2016-04-20,92.00
AAPL,2016-04-19,92.00
AAPL,2016-04-18,92.00
AAPL,2016-04-15,92.00
AAPL,2016-04-14,92.00
AAPL,2016-04-13,92.00
AAPL,2016-04-12,92.00
AAPL,2016-04-11,92.00
AAPL,2016-04-08,92.00
AAPL,2016-04-07,92.00
AAPL,2016-04-06,92.00
AAPL,2016-04-05,92.00
AAPL,2016-04-04,92.00
AAPL,2016-04-01,92.00
AAPL,2016-03-31,92.00
AAPL,2016-03-30,92.00
AAPL,2016-03-29,92.00
AAPL,2016-03-28,92.00
AAPL,2016-03-24,92.00
AAPL,2016-03-23,92.00
AAPL,2016-03-22,92.00
AAPL,2016-03-21,92.00
AAPL,2016-03-18,92.00
AAPL,2016-03-17,92.00
AAPL,2016-03-16,92.00
AAPL,2016-03-15,92.00
AAPL,2016-03-14,92.00
AAPL,2016-03-11,92.00
AAPL,2016-03-10,92.00
AAPL,2016-03-09,92.00
AAPL,2016-03-08,92.00
AAPL,2016-03-07,92.00
AAPL,2016-03-04,92.00
AAPL,2016-03-03,92.00
AAPL,2016-03-02,92.00
AAPL,2016-03-01,92.00
AAPL,2016-02-29,92.00
AAPL,2016-02-26,92.00
AAPL,2016-02-25,92.00
AAPL,2016-02-24,92.00
AAPL,2016-02-23,92.00
AAPL,2016-02-22,92.00
AAPL,2016-02-19,92.00
AAPL,2016-02-18,92.00
AAPL,2016-02-17,92.00
AAPL,2016-02-16,92.00
AAPL,2016-02-12,92.00
AAPL,2016-02-11,92.00
AAPL,2016-02-10,92.00
AAPL,2016-02-09,92.00
AAPL,2016-02-08,92.00
AAPL,2016-02-05,92.00
AAPL,2016-02-04,92.00
AAPL,2016-02-03,92.00
AAPL,2016-02-02,92.00
AAPL,2016-02-01,92.00
AAPL,2016-01-29,92.00
AAPL,2016-01-28,92.00
AAPL,2016-01-27,92.00
AAPL,2016-01-26,92.00
AAPL,2016-01-25,92.00
AAPL,2016-01-22,92.00
AAPL,2016-01-21,92.00
AAPL,2016-01-20,92.00
AAPL,2016-01-19,92.00
AAPL,2016-01-15,92.00
AAPL,2016-01-14,92.00
AAPL,2016-01-13,92.00
AAPL,2016-01-12,92.00
AAPL,2016-01-11,92.00
AAPL,2016-01-08,92.00
AAPL,2016-01-07,92.00
AAPL,2016-01-06,92.00
AAPL,2016-01-05,92.00
AAPL,2016-01-04,92.00
AAPL,2015-12-31,92.00
AAPL,2015-12-30,92.00
AAPL,2015-12-29,92.00
AAPL,2015-12-28,92.00
AAPL,2015-12-24,92.00
AAPL,2015-12-23,92.00
AAPL,2015-12-22,92.00
AAPL,2015-12-21,92.00
AAPL,2015-12-18,92.00
AAPL,2015-12-17,92.00
AAPL,2015-12-16,92.00
AAPL,2015-12-15,92.00
AAPL,2015-12-14,92.00
AAPL,2015-12-11,92.00
AAPL,2015-12-10,92.00
AAPL,2015-12-09,92.00
AAPL,2015-12-08,92.00
AAPL,2015-12-07,92.00
AAPL,2015-12-04,92.00
AAPL,2015-12-03,92.00
AAPL,2015-12-02,92.00
