Symbol,Date,Low
FB,2016-05-12,72.00
FB,2016-05-11,72.00
FB,2016-05-10,72.00
FB,2016-05-09,72.00
FB,2016-05-06,72.00
FB,2016-05-05,72.00
FB,2016-05-04,72.00
FB,2016-05-03,72.00
FB,2016-05-02,72.00
FB,2016-04-29,72.00
FB,2016-04-28,72.00
FB,2016-04-27,72.00
FB,2016-04-26,72.00
FB,2016-04-25,72.00
FB,2016-04-22,72.00
FB,2016-04-21,72.00
FB,2016-04-20,72.00
FB,2016-04-19,72.00
FB,2016-04-18,72.00
FB,2016-04-15,72.00
FB,2016-04-14,72.00
FB,2016-04-13,72.00
FB,2016-04-12,72.00
FB,2016-04-11,72.00
FB,2016-04-08,72.00
FB,2016-04-07,72.00
FB,2016-04-06,72.00
FB,2016-04-05,72.00
FB,2016-04-04,72.00
FB,2016-04-01,72.00
FB,2016-03-31,72.00
FB,2016-03-30,72.00
FB,2016-03-29,72.00
FB,2016-03-28,72.00
FB,2016-03-24,72.00
FB,2016-03-23,72.00
FB,2016-03-22,72.00
FB,2016-03-21,72.00
FB,2016-03-18,72.00
FB,2016-03-17,72.00
FB,2016-03-16,72.00
FB,2016-03-15,72.00
FB,2016-03-14,72.00
FB,2016-03-11,72.00
FB,2016-03-10,72.00
FB,2016-03-09,72.00
FB,2016-03-08,72.00
FB,2016-03-07,72.00
FB,2016-03-04,72.00
FB,2016-03-03,72.00
FB,2016-03-02,72.00
FB,2016-03-01,72.00
FB,2016-02-29,72.00
FB,2016-02-26,72.00
FB,2016-02-25,72.00
FB,2016-02-24,72.00
FB,2016-02-23,72.00
FB,2016-02-22,72.00
FB,2016-02-19,72.00
FB,2016-02-18,72.00
FB,2016-02-17,72.00
FB,2016-02-16,72.00
FB,2016-02-12,72.00
FB,2016-02-11,72.00
FB,2016-02-10,72.00
FB,2016-02-09,72.00
FB,2016-02-08,72.00
FB,2016-02-05,72.00
FB,2016-02-04,72.00
FB,2016-02-03,72.00
FB,2016-02-02,72.00
FB,2016-02-01,72.00
FB,2016-01-29,72.00
FB,2016-01-28,72.00
FB,2016-01-27,72.00
FB,2016-01-26,72.00
FB,2016-01-25,72.00
FB,2016-01-22,72.00
FB,2016-01-21,72.00
FB,2016-01-20,72.00
FB,2016-01-19,72.00
FB,2016-01-15,72.00
FB,2016-01-14,72.00
FB,2016-01-13,72.00
FB,2016-01-12,72.00
FB,2016-01-11,72.00
FB,2016-01-08,72.00
FB,2016-01-07,72.00
FB,2016-01-06,72.00
FB,2016-01-05,72.00
FB,2016-01-04,72.00
FB,2015-12-31,72.00
FB,2015-12-30,72.00
FB,2015-12-29,72.00
FB,2015-12-28,72.00
FB,2015-12-24,72.00
FB,2015-12-23,72.00
FB,2015-12-22,72.00
FB,2015-12-21,72.00
FB,2015-12-18,72.00
FB,2015-12-17,72.00
FB,2015-12-16,72.00
FB,2015-12-15,72.00
FB,2015-12-14,72.00
FB,2015-12-11,72.00
FB,2015-12-10,72.00
FB,2015-12-09,72.00
FB,2015-12-08,72.00
FB,2015-12-07,72.00
FB,2015-12-04,72.00
FB,2015-12-03,72.00
FB,2015-12-02,72.00
FB,2015-12-01,72.00
FB,2015-11-30,72.00
FB,2015-11-27,72.00
FB,2015-11-25,72.00
FB,2015-11-24,72.00
FB,2015-11-23,72.00
FB,2015-11-20,72.00
FB,2015-11-19,72.00
FB,2015-11-18,72.00
FB,2015-11-17,72.00
FB,2015-11-16,72.00
FB,2015-11-13,72.00
FB,2015-11-12,72.00
FB,2015-11-11,72.00
FB,2015-11-10,72.00
FB,2015-11-09,72.00
FB,2015-11-06,72.00
FB,2015-11-05,72.00
FB,2015-11-04,72.00
FB,2015-11-03,72.00
FB,2015-11-02,72.00
FB,2015-10-30,72.00
FB,2015-10-29,72.00
FB,2015-10-28,72.00
FB,2015-10-27,72.00
FB,2015-10-26,72.00
FB,2015-10-23,72.00
FB,2015-10-22,72.00
FB,2015-10-21,72.00
FB,2015-10-20,70.580002
FB,2015-10-19,70.32
FB,2015-10-16,70.32
FB,2015-10-15,70.32
FB,2015-10-14,70.32
FB,2015-10-13,70.32
FB,2015-10-12,70.32
FB,2015-10-09,70.32
FB,2015-10-08,70.32
FB,2015-10-07,70.32
FB,2015-10-06,70.32
FB,2015-10-05,70.32
FB,2015-10-02,70.32
FB,2015-10-01,70.32
FB,2015-09-30,70.32
FB,2015-09-29,70.32
FB,2015-09-28,70.32
FB,2015-09-25,70.32
FB,2015-09-24,70.32
FB,2015-09-23,70.32
FB,2015-09-22,70.32
FB,2015-09-21,70.32
FB,2015-09-18,70.32
FB,2015-09-17,70.32
FB,2015-09-16,70.32
FB,2015-09-15,70.32
FB,2015-09-14,70.32
FB,2015-09-11,70.32
FB,2015-09-10,70.32
FB,2015-09-09,70.32
FB,2015-09-08,70.32
FB,2015-09-04,70.32
FB,2015-09-03,70.32
FB,2015-09-02,70.32
FB,2015-09-01,70.32
FB,2015-08-31,70.32
FB,2015-08-28,70.32
FB,2015-08-27,70.32
FB,2015-08-26,70.32
FB,2015-08-25,70.32
FB,2015-08-24,70.32
FB,2015-08-21,70.32
FB,2015-08-20,70.32
FB,2015-08-19,70.32
FB,2015-08-18,70.32
FB,2015-08-17,70.32
FB,2015-08-14,70.32
FB,2015-08-13,70.32
FB,2015-08-12,70.32
FB,2015-08-11,70.32
FB,2015-08-10,70.32
FB,2015-08-07,70.32
FB,2015-08-06,70.32
FB,2015-08-05,70.32
FB,2015-08-04,70.32
FB,2015-08-03,70.32
FB,2015-07-31,70.32
FB,2015-07-30,70.32
FB,2015-07-29,70.32
FB,2015-07-28,70.32
FB,2015-07-27,69.610001
FB,2015-07-24,68.610001
FB,2015-07-23,68.50
FB,2015-07-22,66.160004
FB,2015-07-21,66.040001
FB,2015-07-20,66.040001
FB,2015-07-17,66.040001
FB,2015-07-16,66.040001
FB,2015-07-15,64.790001
FB,2015-07-14,63.049999
FB,2015-07-13,63.049999
FB,2015-07-10,62.209999
FB,2015-07-09,62.209999
FB,2015-07-08,62.209999
FB,2015-07-07,62.209999
FB,2015-07-06,62.209999
FB,2015-07-02,62.209999
FB,2015-07-01,62.209999
FB,2015-06-30,62.209999
FB,2015-06-29,62.209999
FB,2015-06-26,62.209999
FB,2015-06-25,62.209999
FB,2015-06-24,62.209999
FB,2015-06-23,62.209999
FB,2015-06-22,62.209999
FB,2015-06-19,62.209999
FB,2015-06-18,62.209999
FB,2015-06-17,62.209999
FB,2015-06-16,62.209999
FB,2015-06-15,62.209999
FB,2015-06-12,62.209999
FB,2015-06-11,61.790001
FB,2015-06-10,61.790001
FB,2015-06-09,61.790001
FB,2015-06-08,61.790001
FB,2015-06-05,61.790001
FB,2015-06-04,61.790001
FB,2015-06-03,61.790001
FB,2015-06-02,61.790001
FB,2015-06-01,61.790001
FB,2015-05-29,61.57
FB,2015-05-28,60.150002
FB,2015-05-27,60.150002
FB,2015-05-26,58.25
FB,2015-05-22,58.18
FB,2015-05-21,57.57
FB,2015-05-20,57.310001
FB,2015-05-19,57.310001
FB,2015-05-18,57.310001
FB,2015-05-15,57.310001
FB,2015-05-14,57.310001
FB,2015-05-13,56.380001
FB,2015-05-12,56.380001
FB,2015-05-11,56.259998
FB,2015-05-08,56.259998
FB,2015-05-07,56.259998
FB,2015-05-06,56.259998
FB,2015-05-05,56.259998
FB,2015-05-04,56.259998
FB,2015-05-01,55.84
FB,2015-04-30,54.66
FB,2015-04-29,54.66
FB,2015-04-28,54.66
FB,2015-04-27,54.66
FB,2015-04-24,54.66
FB,2015-04-23,54.66
FB,2015-04-22,54.66
FB,2015-04-21,54.66
FB,2015-04-20,54.66
FB,2015-04-17,54.66
FB,2015-04-16,54.66
FB,2015-04-15,54.66
FB,2015-04-14,54.66
FB,2015-04-13,54.66
FB,2015-04-10,54.66
FB,2015-04-09,54.66
FB,2015-04-08,54.66
FB,2015-04-07,54.66
FB,2015-04-06,54.66
FB,2015-04-02,54.66
FB,2015-04-01,54.66
FB,2015-03-31,54.66
FB,2015-03-30,54.66
FB,2015-03-27,54.66
FB,2015-03-26,54.66
FB,2015-03-25,54.66
FB,2015-03-24,54.66
FB,2015-03-23,54.66
FB,2015-03-20,54.66
FB,2015-03-19,54.66
FB,2015-03-18,54.66
FB,2015-03-17,54.66
FB,2015-03-16,54.66
FB,2015-03-13,54.66
FB,2015-03-12,54.66
FB,2015-03-11,54.66
FB,2015-03-10,54.66
FB,2015-03-09,54.66
FB,2015-03-06,54.66
FB,2015-03-05,54.66
FB,2015-03-04,54.66
FB,2015-03-03,54.66
FB,2015-03-02,54.66
FB,2015-02-27,54.66
FB,2015-02-26,54.66
FB,2015-02-25,54.66
FB,2015-02-24,54.66
