Symbol,Date,Low
LNKD,2016-05-12,98.25
LNKD,2016-05-11,98.25
LNKD,2016-05-10,98.25
LNKD,2016-05-09,98.25
LNKD,2016-05-06,98.25
LNKD,2016-05-05,98.25
LNKD,2016-05-04,98.25
LNKD,2016-05-03,98.25
LNKD,2016-05-02,98.25
LNKD,2016-04-29,98.25
LNKD,2016-04-28,98.25
LNKD,2016-04-27,98.25
LNKD,2016-04-26,98.25
LNKD,2016-04-25,98.25
LNKD,2016-04-22,98.25
LNKD,2016-04-21,98.25
LNKD,2016-04-20,98.25
LNKD,2016-04-19,98.25
LNKD,2016-04-18,98.25
LNKD,2016-04-15,98.25
LNKD,2016-04-14,98.25
LNKD,2016-04-13,98.25
LNKD,2016-04-12,98.25
LNKD,2016-04-11,98.25
LNKD,2016-04-08,98.25
LNKD,2016-04-07,98.25
LNKD,2016-04-06,98.25
LNKD,2016-04-05,98.25
LNKD,2016-04-04,98.25
LNKD,2016-04-01,98.25
LNKD,2016-03-31,98.25
LNKD,2016-03-30,98.25
LNKD,2016-03-29,98.25
LNKD,2016-03-28,98.25
LNKD,2016-03-24,98.25
LNKD,2016-03-23,98.25
LNKD,2016-03-22,98.25
LNKD,2016-03-21,98.25
LNKD,2016-03-18,98.25
LNKD,2016-03-17,98.25
LNKD,2016-03-16,98.25
LNKD,2016-03-15,98.25
LNKD,2016-03-14,98.25
LNKD,2016-03-11,98.25
LNKD,2016-03-10,98.25
LNKD,2016-03-09,98.25
LNKD,2016-03-08,98.25
LNKD,2016-03-07,98.25
LNKD,2016-03-04,98.25
LNKD,2016-03-03,98.25
LNKD,2016-03-02,98.25
LNKD,2016-03-01,98.25
LNKD,2016-02-29,98.25
LNKD,2016-02-26,98.25
LNKD,2016-02-25,98.25
LNKD,2016-02-24,98.25
LNKD,2016-02-23,98.25
LNKD,2016-02-22,98.25
LNKD,2016-02-19,98.25
LNKD,2016-02-18,98.25
LNKD,2016-02-17,98.25
LNKD,2016-02-16,98.25
LNKD,2016-02-12,98.25
LNKD,2016-02-11,98.25
LNKD,2016-02-10,100.120003
LNKD,2016-02-09,102.809998
LNKD,2016-02-08,102.809998
LNKD,2016-02-05,165.570007
LNKD,2016-02-04,165.570007
LNKD,2016-02-03,165.570007
LNKD,2016-02-02,165.570007
LNKD,2016-02-01,165.570007
LNKD,2016-01-29,165.570007
LNKD,2016-01-28,165.570007
LNKD,2016-01-27,165.570007
LNKD,2016-01-26,165.570007
LNKD,2016-01-25,165.570007
LNKD,2016-01-22,165.570007
LNKD,2016-01-21,165.570007
LNKD,2016-01-20,165.570007
LNKD,2016-01-19,165.570007
LNKD,2016-01-15,165.570007
LNKD,2016-01-14,165.570007
LNKD,2016-01-13,165.570007
LNKD,2016-01-12,165.570007
LNKD,2016-01-11,165.570007
LNKD,2016-01-08,165.570007
LNKD,2016-01-07,165.570007
LNKD,2016-01-06,165.570007
LNKD,2016-01-05,165.570007
LNKD,2016-01-04,165.570007
LNKD,2015-12-31,165.570007
LNKD,2015-12-30,165.570007
LNKD,2015-12-29,165.570007
LNKD,2015-12-28,165.570007
LNKD,2015-12-24,165.570007
LNKD,2015-12-23,165.570007
LNKD,2015-12-22,165.570007
LNKD,2015-12-21,165.570007
LNKD,2015-12-18,165.570007
LNKD,2015-12-17,165.570007
LNKD,2015-12-16,165.570007
LNKD,2015-12-15,165.570007
LNKD,2015-12-14,165.570007
LNKD,2015-12-11,165.570007
LNKD,2015-12-10,165.570007
LNKD,2015-12-09,165.570007
LNKD,2015-12-08,165.570007
LNKD,2015-12-07,165.570007
LNKD,2015-12-04,165.570007
LNKD,2015-12-03,165.570007
LNKD,2015-12-02,165.570007
LNKD,2015-12-01,165.570007
LNKD,2015-11-30,165.570007
LNKD,2015-11-27,165.570007
LNKD,2015-11-25,165.570007
LNKD,2015-11-24,165.570007
LNKD,2015-11-23,165.570007
LNKD,2015-11-20,165.570007
LNKD,2015-11-19,165.570007
LNKD,2015-11-18,165.570007
LNKD,2015-11-17,165.570007
LNKD,2015-11-16,165.570007
LNKD,2015-11-13,165.570007
LNKD,2015-11-12,165.570007
LNKD,2015-11-11,165.570007
LNKD,2015-11-10,165.570007
LNKD,2015-11-09,165.570007
LNKD,2015-11-06,165.570007
LNKD,2015-11-05,165.570007
LNKD,2015-11-04,165.570007
LNKD,2015-11-03,165.570007
LNKD,2015-11-02,165.570007
LNKD,2015-10-30,165.570007
LNKD,2015-10-29,165.570007
LNKD,2015-10-28,165.570007
LNKD,2015-10-27,165.570007
LNKD,2015-10-26,165.570007
LNKD,2015-10-23,165.570007
LNKD,2015-10-22,165.570007
LNKD,2015-10-21,165.570007
LNKD,2015-10-20,165.570007
LNKD,2015-10-19,165.570007
LNKD,2015-10-16,165.570007
LNKD,2015-10-15,165.570007
LNKD,2015-10-14,165.570007
LNKD,2015-10-13,165.570007
LNKD,2015-10-12,165.570007
LNKD,2015-10-09,165.570007
LNKD,2015-10-08,165.570007
LNKD,2015-10-07,165.570007
LNKD,2015-10-06,165.570007
LNKD,2015-10-05,165.570007
LNKD,2015-10-02,165.570007
LNKD,2015-10-01,165.570007
LNKD,2015-09-30,165.570007
LNKD,2015-09-29,165.570007
LNKD,2015-09-28,165.570007
LNKD,2015-09-25,165.570007
LNKD,2015-09-24,165.570007
LNKD,2015-09-23,165.570007
LNKD,2015-09-22,165.570007
LNKD,2015-09-21,165.570007
LNKD,2015-09-18,165.570007
LNKD,2015-09-17,165.570007
LNKD,2015-09-16,165.570007
LNKD,2015-09-15,165.570007
LNKD,2015-09-14,165.570007
LNKD,2015-09-11,165.570007
LNKD,2015-09-10,165.570007
LNKD,2015-09-09,165.570007
LNKD,2015-09-08,165.570007
LNKD,2015-09-04,165.570007
LNKD,2015-09-03,165.570007
LNKD,2015-09-02,165.570007
LNKD,2015-09-01,165.570007
LNKD,2015-08-31,165.570007
LNKD,2015-08-28,165.570007
