Symbol,Date,Low
TWTR,2016-05-12,13.90
TWTR,2016-05-11,13.90
TWTR,2016-05-10,13.90
TWTR,2016-05-09,13.90
TWTR,2016-05-06,13.90
TWTR,2016-05-05,13.90
TWTR,2016-05-04,13.90
TWTR,2016-05-03,13.91
TWTR,2016-05-02,13.91
TWTR,2016-04-29,13.91
TWTR,2016-04-28,13.91
TWTR,2016-04-27,13.91
TWTR,2016-04-26,13.91
TWTR,2016-04-25,13.91
TWTR,2016-04-22,13.91
TWTR,2016-04-21,13.91
TWTR,2016-04-20,13.91
TWTR,2016-04-19,13.91
TWTR,2016-04-18,13.91
TWTR,2016-04-15,13.91
TWTR,2016-04-14,13.91
TWTR,2016-04-13,13.91
TWTR,2016-04-12,13.91
TWTR,2016-04-11,13.91
TWTR,2016-04-08,13.91
TWTR,2016-04-07,13.91
TWTR,2016-04-06,13.91
TWTR,2016-04-05,13.91
TWTR,2016-04-04,13.91
TWTR,2016-04-01,13.91
TWTR,2016-03-31,13.91
TWTR,2016-03-30,13.91
TWTR,2016-03-29,13.91
TWTR,2016-03-28,13.91
TWTR,2016-03-24,13.91
TWTR,2016-03-23,13.91
TWTR,2016-03-22,13.91
TWTR,2016-03-21,13.91
TWTR,2016-03-18,13.91
TWTR,2016-03-17,13.91
TWTR,2016-03-16,13.91
TWTR,2016-03-15,13.91
TWTR,2016-03-14,13.91
TWTR,2016-03-11,13.91
TWTR,2016-03-10,13.91
TWTR,2016-03-09,13.91
TWTR,2016-03-08,13.91
TWTR,2016-03-07,13.91
TWTR,2016-03-04,13.91
TWTR,2016-03-03,13.91
TWTR,2016-03-02,13.91
TWTR,2016-03-01,13.91
TWTR,2016-02-29,13.91
TWTR,2016-02-26,13.91
TWTR,2016-02-25,13.91
TWTR,2016-02-24,13.91
TWTR,2016-02-23,13.91
TWTR,2016-02-22,13.91
TWTR,2016-02-19,13.91
TWTR,2016-02-18,13.91
TWTR,2016-02-17,13.91
TWTR,2016-02-16,13.91
TWTR,2016-02-12,13.91
TWTR,2016-02-11,14.31
TWTR,2016-02-10,14.31
TWTR,2016-02-09,14.73
TWTR,2016-02-08,15.48
TWTR,2016-02-05,15.48
TWTR,2016-02-04,15.48
TWTR,2016-02-03,15.48
TWTR,2016-02-02,15.48
TWTR,2016-02-01,15.48
TWTR,2016-01-29,15.48
TWTR,2016-01-28,15.48
TWTR,2016-01-27,15.48
TWTR,2016-01-26,15.48
