Symbol,Date,Low
YHOO,2016-05-12,26.15
YHOO,2016-05-11,26.15
YHOO,2016-05-10,26.15
YHOO,2016-05-09,26.15
YHOO,2016-05-06,26.15
YHOO,2016-05-05,26.15
YHOO,2016-05-04,26.15
YHOO,2016-05-03,26.15
YHOO,2016-05-02,26.15
YHOO,2016-04-29,26.15
YHOO,2016-04-28,26.15
YHOO,2016-04-27,26.15
YHOO,2016-04-26,26.15
YHOO,2016-04-25,26.15
YHOO,2016-04-22,26.15
YHOO,2016-04-21,26.15
YHOO,2016-04-20,26.15
YHOO,2016-04-19,26.15
YHOO,2016-04-18,26.15
YHOO,2016-04-15,26.15
YHOO,2016-04-14,26.15
YHOO,2016-04-13,26.15
YHOO,2016-04-12,26.15
YHOO,2016-04-11,26.15
YHOO,2016-04-08,26.15
YHOO,2016-04-07,26.15
YHOO,2016-04-06,26.15
YHOO,2016-04-05,26.15
YHOO,2016-04-04,26.15
YHOO,2016-04-01,26.15
YHOO,2016-03-31,26.15
YHOO,2016-03-30,26.15
YHOO,2016-03-29,26.15
YHOO,2016-03-28,26.15
YHOO,2016-03-24,26.15
YHOO,2016-03-23,26.15
YHOO,2016-03-22,26.15
YHOO,2016-03-21,26.15
YHOO,2016-03-18,26.15
YHOO,2016-03-17,26.15
YHOO,2016-03-16,26.15
YHOO,2016-03-15,26.15
YHOO,2016-03-14,26.15
YHOO,2016-03-11,26.15
YHOO,2016-03-10,26.15
YHOO,2016-03-09,26.15
YHOO,2016-03-08,26.15
YHOO,2016-03-07,26.15
YHOO,2016-03-04,26.15
YHOO,2016-03-03,26.15
YHOO,2016-03-02,26.15
YHOO,2016-03-01,26.15
YHOO,2016-02-29,26.15
YHOO,2016-02-26,26.15
YHOO,2016-02-25,26.15
YHOO,2016-02-24,26.15
YHOO,2016-02-23,26.15
YHOO,2016-02-22,26.15
YHOO,2016-02-19,26.15
YHOO,2016-02-18,26.15
YHOO,2016-02-17,26.15
YHOO,2016-02-16,26.15
YHOO,2016-02-12,26.15
YHOO,2016-02-11,26.48
YHOO,2016-02-10,26.48
YHOO,2016-02-09,26.48
YHOO,2016-02-08,26.57
YHOO,2016-02-05,26.57
YHOO,2016-02-04,26.57
YHOO,2016-02-03,27.200001
YHOO,2016-02-02,27.200001
YHOO,2016-02-01,27.200001
YHOO,2016-01-29,27.200001
YHOO,2016-01-28,27.200001
YHOO,2016-01-27,27.200001
YHOO,2016-01-26,27.200001
YHOO,2016-01-25,27.200001
YHOO,2016-01-22,27.200001
YHOO,2016-01-21,27.200001
YHOO,2016-01-20,27.200001
YHOO,2016-01-19,27.200001
YHOO,2016-01-15,27.200001
YHOO,2016-01-14,27.200001
YHOO,2016-01-13,27.200001
YHOO,2016-01-12,27.200001
YHOO,2016-01-11,27.200001
YHOO,2016-01-08,27.200001
YHOO,2016-01-07,27.200001
YHOO,2016-01-06,27.200001
YHOO,2016-01-05,27.200001
YHOO,2016-01-04,27.200001
YHOO,2015-12-31,27.200001
YHOO,2015-12-30,27.200001
YHOO,2015-12-29,27.200001
YHOO,2015-12-28,27.200001
YHOO,2015-12-24,27.200001
YHOO,2015-12-23,27.200001
YHOO,2015-12-22,27.200001
YHOO,2015-12-21,27.200001
YHOO,2015-12-18,27.200001
YHOO,2015-12-17,27.200001
YHOO,2015-12-16,27.200001
YHOO,2015-12-15,27.200001
YHOO,2015-12-14,27.200001
YHOO,2015-12-11,27.200001
YHOO,2015-12-10,27.200001
YHOO,2015-12-09,27.200001
YHOO,2015-12-08,27.200001
YHOO,2015-12-07,27.200001
YHOO,2015-12-04,27.200001
YHOO,2015-12-03,27.200001
YHOO,2015-12-02,27.200001
YHOO,2015-12-01,27.200001
YHOO,2015-11-30,27.200001
YHOO,2015-11-27,27.200001
YHOO,2015-11-25,27.200001
YHOO,2015-11-24,27.200001
YHOO,2015-11-23,27.200001
YHOO,2015-11-20,27.200001
YHOO,2015-11-19,27.200001
YHOO,2015-11-18,27.200001
YHOO,2015-11-17,27.200001
YHOO,2015-11-16,27.200001
YHOO,2015-11-13,27.200001
YHOO,2015-11-12,27.200001
YHOO,2015-11-11,27.200001
YHOO,2015-11-10,27.200001
YHOO,2015-11-09,27.200001
YHOO,2015-11-06,27.200001
YHOO,2015-11-05,27.200001
YHOO,2015-11-04,27.200001
YHOO,2015-11-03,27.200001
YHOO,2015-11-02,27.200001
YHOO,2015-10-30,27.200001
YHOO,2015-10-29,27.200001
YHOO,2015-10-28,27.200001
YHOO,2015-10-27,27.200001
